program_name,city,latitude,longitude
Государственный ветеринарно-санитарный инспектор,Новосибирск,55.0288307,82.9226887
Ветеринарно-санитарный эксперт,Новосибирск,55.0288307,82.9226887
Эколог агроландшафтов,Новосибирск,55.0288307,82.9226887
Ветеринарная биотехнология,Новосибирск,55.0288307,82.9226887
Прикладная биоинформатика,Новосибирск,55.0288307,82.9226887
"Православная теология, методика преподавания",Псков,57.8173923,28.3343465
Интеллектуальные вычислительные системы,Псков,57.8173923,28.3343465
Управление и развитие в социальной сфере,Благовещенск,50.2600417,127.5337378
Агрохимия и фитосанитарная безопасность,Санкт-Петербург,59.9606739,30.1586551
Историческая аналитика,Елец,52.6219865,38.5003298
Сторителлинг и имиджелогия в креативных индустриях,Елец,52.6219865,38.5003298
Реабилитация лиц с ограниченными возможностями здоровья и адаптивная физическая культура,Елец,52.6219865,38.5003298
Реабилитация лиц с ограниченными возможностями здоровья и адаптивная физическая культура,Владимир,56.1288899,40.4075203
Информационные технологии в музыкальном образовании,Елец,52.6219865,38.5003298
Интеграция дисциплин естественно-научного цикла в условиях трансформации образования,Елец,52.6219865,38.5003298
Лингводидактика и межкультурная коммуникация (английский/немецкий/китайский язык),Елец,52.6219865,38.5003298
Технологии искусственного интеллекта в образовательных практиках,Елец,52.6219865,38.5003298
Управление туристскими проектами в условиях креативной экономики,Елец,52.6219865,38.5003298
Мехатроника и автоматизация сельскохозяйственной техники,Елец,52.6219865,38.5003298
Психология и психодиагностика в образовании,Казань,55.7946485,49.1115022
Управление ресторанным и гостиничным бизнесом,Казань,55.7946485,49.1115022
Российско-китайский бизнес и международные экономические отношения,Казань,55.7946485,49.1115022
Логопедическое сопровождение обучающихся начальных классов,Томск,56.4887526,84.9523434
Правовое образование и судебная лингвистическая экспертиза,Барнаул,53.3475493,83.7788448
Правовое образование и кризисная психология,Барнаул,53.3475493,83.7788448
Международные отношения и трансграничное сотрудничество,Барнаул,53.3475493,83.7788448
Русский язык как иностранный в полиэтническом и поликультурном пространстве,Барнаул,53.3475493,83.7788448
"Цифровые инновации в филологии, лингводидактике и медиалингвистике",Барнаул,53.3475493,83.7788448
"Психология здоровья, физической культуры и спорта",Барнаул,53.3475493,83.7788448
Дидактика переводческой деятельности,Барнаул,53.3475493,83.7788448
Педагогика высшего образования,Южно-Сахалинск,46.9574273,142.727438
"Проектирование, строительство и обслуживание скважин на шельфе",Южно-Сахалинск,46.9574273,142.727438
Экология и экологический менеджмент,Южно-Сахалинск,46.9574273,142.727438
Государственное управление экономическим развитием региона в условиях цифровизации,Благовещенск,50.2600417,127.5337378
Сурдопедагогика,Сургут,61.2419217,73.3952717
Бизнес и финансовая аналитика,Москва,55.625578,37.6063916
Информационные системы на транспорте,Иркутск,52.2891225,104.279829
Управление внешнеэкономической деятельностью,Нижний Новгород,56.3264816,44.0051395
Стратегия развития и финансовый анализ,Нижний Новгород,56.3264816,44.0051395
Radioecology and Radiation Protection,Обнинск,55.0951738,36.611913
Биотехнологии,Обнинск,55.0951738,36.611913
Финансы организаций,Саров,54.9231153,43.342674
Инновации в конструировании одежды,Москва,55.625578,37.6063916
Нутрициология и проектирование функциональных продуктов питания,Москва,55.625578,37.6063916
Управление снабжением организаций,Санкт-Петербург,59.9606739,30.1586551
Стратегическое управление качеством на предприятиях в фармацевтической и смежных отраслях,Санкт-Петербург,59.9606739,30.1586551
Искусственный интеллект и цифровые технологии в АПК,Екатеринбург,56.8382071,60.6007886
Управление туристско-рекреационными системами,Краснодар,45.0351532,38.9772396
