id,name,code,sphere,career_prospects,cost,min_budget_score,budget_places,min_paid_score,paid_places,url
198,Биоинженерия и биотехнология,03.04.01,Прикладные математика и физика,"Биоинженер, Биотехнолог, Биоинформатики остальные",,5.0,,,,https://vuzopedia.ru/program/magistratura/12761
199,Цифровая трансформация в управлении здравоохранением,03.04.01,Прикладные математика и физика,"R&D менеджер здравоохранения, Менеджер в сфере здравоохранения, Руководитель по цифровой трансформации (CDO – Chief Data Officer)и остальные",,5.0,,,,https://vuzopedia.ru/program/magistratura/12758
200,Биоинженерия и биоинформатика,03.04.01,Прикладные математика и физика,"Биоинженер, Биоинформатик, Клинический биоинформатики остальные",,5.0,,,,https://vuzopedia.ru/program/magistratura/12755
201,Медицинская физика и биоинформатика,03.04.01,Прикладные математика и физика,"Биофизик, Биоинформатик, Клинический биоинформатики остальные",780000.0,5.0,,15.0,1.0,https://vuzopedia.ru/program/magistratura/12752
202,Технологическое предпринимательство: наукоемкие материаловедение и электроника (сетевая пр..,03.04.01,Прикладные математика и физика,"Инженер-электроник, Предприниматель, Материаловеди остальные",780000.0,34.0,,15.0,6.0,https://vuzopedia.ru/program/magistratura/12749
203,"Физика перспективных технологий: альтернативная энергетика, научное программирование и фун..",03.04.01,Прикладные математика и физика,"Астрофизик, Нанофизик, Инженер-физики остальные",780000.0,17.0,,15.0,3.0,https://vuzopedia.ru/program/magistratura/12746
204,Фундаментальная и прикладная физика природных систем,03.04.01,Прикладные математика и физика,"Биофизик, Физик, Техник-геофизики остальные",780000.0,12.0,,15.0,2.0,https://vuzopedia.ru/program/magistratura/12743
205,Технологические предпринимательство: DeepTech проекты,03.04.01,Прикладные математика и физика,"Информатик (специалист по информационным технологиям), Intelligent Systems Developer (разработчик интеллектуальных систем), Предпринимательи остальные",780000.0,38.0,,15.0,2.0,https://vuzopedia.ru/program/magistratura/12740
206,Современная механика и робототехника,03.04.01,Прикладные математика и физика,"Проектировщик промышленной робототехники, Техник-механик, Робототехники остальные",780000.0,38.0,,15.0,2.0,https://vuzopedia.ru/program/magistratura/12737
207,Общая и прикладная физика,03.04.01,Прикладные математика и физика,"Лаборант по физико-механическим испытаниям, Инженер-физик, Физики остальные",780000.0,40.0,,15.0,1.0,https://vuzopedia.ru/program/magistratura/12734
208,Технологическое предпринимательство: наукоемкие компьютерные технологии (сетевая программа..,03.04.01,Прикладные математика и физика,"Инновационный менеджер, Консультант по электронному бизнесу, Предпринимательи остальные",780000.0,58.0,,15.0,4.0,https://vuzopedia.ru/program/magistratura/12731
209,Управление IT-продуктами,27.04.07,Наукоемкие технологии и экономика инноваций,"Менеджер проекта, Менеджер продуктов в области информационных технологий, Руководитель по цифровой трансформации (CDO – Chief Data Officer)и остальные",560000.0,,,15.0,150.0,https://vuzopedia.ru/program/magistratura/12728
210,Цифровая трансформация бизнеса,09.04.01,Информатика и вычислительная техника,"Консультант по электронному бизнесу, Специалист по бизнес-планированию и разработке бизнес-планов, Руководитель по цифровой трансформации (CDO – Chief Data Officer)и остальные",560000.0,,,15.0,50.0,https://vuzopedia.ru/program/magistratura/12725
211,Распределенные системы и искусственный интеллект,09.04.01,Информатика и вычислительная техника,"Системный администратор, Инженер-системотехник, Специалист по искусственному интеллектуи остальные",831000.0,15.0,,15.0,12.0,https://vuzopedia.ru/program/magistratura/12723
212,Авиационные технологии,03.04.01,Прикладные математика и физика,"Авиаконструктор, Авиационный механик (авиамеханик), Авиаинженер (авиационный инженер)и остальные",,14.0,,15.0,4.0,https://vuzopedia.ru/program/magistratura/12720
213,Управление биологическим и генетическими ресурсами,06.04.01,Биология,"Биотехнолог, Биолог, Биолог-исследовательи остальные",167800.0,10.0,,40.0,2.0,https://vuzopedia.ru/program/magistratura/12717
214,Физико-химия материалов и технологии металлокерамики и печатных плат,22.04.01,Материаловедение и технологии материалов,"Химик-материаловед, Инженер-физик, Материаловеди остальные",167800.0,12.0,,40.0,5.0,https://vuzopedia.ru/program/magistratura/12714
215,Искусственный интеллект в образовании,02.04.03,Математическое обеспечение и администрирование информационных систем,"Педагог, Intelligent Systems Developer (разработчик интеллектуальных систем), Специалист по искусственному интеллектуи остальные",167800.0,13.0,,40.0,20.0,https://vuzopedia.ru/program/magistratura/12711
216,Педагогическое образование (Образование в области ФКиС),44.04.01,Педагогическое образование,"Педагог, Учитель, Учитель физкультурыи остальные",142200.0,,,61.0,30.0,https://vuzopedia.ru/program/magistratura/12708
217,Управление развитием туризма и гостеприимства,43.04.02,Туризм,"Специалист по гостеприимству, Менеджер по туризму, Специалист по туризмуи остальные",165300.0,14.0,,61.0,3.0,https://vuzopedia.ru/program/magistratura/12706
218,Философия культуры,47.04.01,Философия,"Философ, Культуролог, Философ, научный сотрудники остальные",91800.0,,,40.0,10.0,https://vuzopedia.ru/program/magistratura/12703
219,Философия искусственного интеллекта и практики применения нейросетей,47.04.01,Философия,"Философ, Философ, научный сотрудник, Специалист по искусственному интеллектуи остальные",91800.0,,,40.0,10.0,https://vuzopedia.ru/program/magistratura/12700
220,Управление молодежной политикой в регионе,38.04.04,Государственное и муниципальное управление,"Государственный служащий, Специалист по работе с молодежью, Специалист государственного и муниципального управленияи остальные",92700.0,,,50.0,25.0,https://vuzopedia.ru/program/magistratura/12698
221,Педагогическая психология,37.04.01,Психология,"Педагог, Психолог, Педагог-психологи остальные",92700.0,10.0,,30.0,55.0,https://vuzopedia.ru/program/magistratura/12695
222,Искусственный интеллект и цифровые коммуникации в государственном аудите,38.04.09,Государственный аудит,"Государственный аудитор, Специалист по искусственному интеллекту, Менеджер по внутренним коммуникациями остальные",75000.0,,,40.0,825.0,https://vuzopedia.ru/program/magistratura/12692
223,Искусственный интеллект в индустрии красоты,38.04.06,Торговое дело,"Директор (администратор) салона красоты, Intelligent Systems Developer (разработчик интеллектуальных систем), Специалист по искусственному интеллектуи остальные",75000.0,,,40.0,825.0,https://vuzopedia.ru/program/magistratura/12689
224,Искусственный интеллект и экосистемы в управлении организациями и проектами,38.04.02,Менеджмент,"Менеджер, Специалист по машинному обучению, Специалист по искусственному интеллектуи остальные",75000.0,,,40.0,1125.0,https://vuzopedia.ru/program/magistratura/12680
225,Искусственный интеллект в экономике,38.04.01,Экономика,"Инженер-экономист, Разработчик нейронных сетей, Специалист по искусственному интеллектуи остальные",75000.0,,,40.0,1125.0,https://vuzopedia.ru/program/magistratura/12677
226,Обработка металлов давлением,22.04.02,Металлургия,"Инженер по металлургическим машинам и оборудованию, Инженер-технолог по обработке металлов давлением, Специалист по обработке металлов давлениеми остальные",164816.0,,,53.0,10.0,https://vuzopedia.ru/program/magistratura/12669
227,Металлургия черных металлов,22.04.02,Металлургия,"Инженер по металлургическим машинам и оборудованию, Инженер-металлург, Специалист по металлургии черных металлови остальные",164816.0,,,53.0,10.0,https://vuzopedia.ru/program/magistratura/12666
228,Материаловедение и технологии материалов в металлургии и машиностроении,22.04.01,Материаловедение и технологии материалов,"Инженер-технолог, Химик-материаловед, Материаловеди остальные",164816.0,15.0,,53.0,10.0,https://vuzopedia.ru/program/magistratura/12663
229,Управление разработкой и внедрением ИТ-решений,09.04.01,Информатика и вычислительная техника,"Инженер-разработчик аппаратного обеспечения, Информатик (специалист по информационным технологиям), Руководитель разработки программного обеспеченияи остальные",164816.0,5.0,,53.0,5.0,https://vuzopedia.ru/program/magistratura/12660
230,Химия и биотехнология пива и напитков,19.04.02,Продукты питания из растительного сырья,"Биотехнолог, Оператор линии фильтрации в пивоваренном производстве, Биохимики остальные",288500.0,,,30.0,5.0,https://vuzopedia.ru/program/magistratura/12657
231,История и культура Северного Кавказа,46.04.01,История,"Историк, Культуролог, Регионоведи остальные",,4.0,,,,https://vuzopedia.ru/program/magistratura/12656
232,Педагогическое сопровождение образовательной деятельности в сфере физической культуры и сп..,44.04.01,Педагогическое образование,"Педагог, Педагог-организатор, Преподаватель физических дисциплини остальные",,6.0,,,,https://vuzopedia.ru/program/magistratura/12653
233,Историческое просвещение и формирование духовно-нравственных и культурно-исторических ценн..,44.04.01,Педагогическое образование,"Историк, Исторический консультант, исторический реконструктор, Преподавательи остальные",,6.0,,,,https://vuzopedia.ru/program/magistratura/12650
234,Теория и методика преподавания изобразительного искусства: инновационные подходы и техноло..,44.04.01,Педагогическое образование,"Учитель ИЗО, Учитель изобразительного искусства и черчения, Руководитель изобразительной деятельности в дошкольных учрежденияхи остальные",,6.0,,,,https://vuzopedia.ru/program/magistratura/12647
235,Исследовательские и проектные методы в образовании физике,44.04.01,Педагогическое образование,"Педагог, Учитель математики и физики, Учитель физикии остальные",,6.0,,,,https://vuzopedia.ru/program/magistratura/12644
236,Литературный процесс: цифровое пространство и педагогические инновации,44.04.01,Педагогическое образование,"Литературовед, Преподаватель зарубежной литературы, Учитель русского языка и литературыи остальные",,6.0,,,,https://vuzopedia.ru/program/magistratura/12641
237,Современное географическое образование: содержание и технологии,44.04.01,Педагогическое образование,"Педагог, Учитель географии, Преподаватель географии (географических дисциплин)и остальные",,6.0,,,,https://vuzopedia.ru/program/magistratura/12638
238,Управление современными патриотически ориентированными воспитательными системами,44.04.01,Педагогическое образование,"Педагог, Социальный педагог, Директор по воспитательной работеи остальные",,7.0,,,,https://vuzopedia.ru/program/magistratura/12635
239,Педагогический инжиниринг в образовании,44.04.01,Педагогическое образование,"Педагог, Педагог-организатор, Специалист по педагогическому дизайну, педагогический дизайнери остальные",,7.0,,,,https://vuzopedia.ru/program/magistratura/12632
240,Педагогические технологии профессионального обучения,44.04.01,Педагогическое образование,"Педагог, Педагог-организатор, Специалист по педагогическому дизайну, педагогический дизайнери остальные",49000.0,13.0,,60.0,20.0,https://vuzopedia.ru/program/magistratura/12629
241,Теория и технология спортивной тренировки,49.04.01,Физическая культура,"Спортивный тренер, Спортивный психолог, Спортивный менеджери остальные",62000.0,5.0,,65.0,25.0,https://vuzopedia.ru/program/magistratura/12626
242,"Россия и Центральная Азия: история, культура и международные отношения",46.04.01,История,"Историк, Культуролог, Специалист в области международных отношенийи остальные",168000.0,8.0,,65.0,7.0,https://vuzopedia.ru/program/magistratura/12623
243,Право России и Китая,40.04.01,Юриспруденция,"Китаист, Юрист, Юрист-международники остальные",171000.0,,,65.0,25.0,https://vuzopedia.ru/program/magistratura/12620
244,Цифровые технологии в государственном и муниципальном управлении,38.04.04,Государственное и муниципальное управление,"Государственный служащий, Информатик (специалист по информационным технологиям), Специалист государственного и муниципального управленияи остальные",62000.0,,,65.0,50.0,https://vuzopedia.ru/program/magistratura/12617
245,Безопасность компьютерных систем (в сфере информационных технологий),09.04.02,Информационные системы и технологии,"Аналитик информационной безопасности, Инженер информационной безопасности, Специалист по безопасностии остальные",168000.0,,,65.0,15.0,https://vuzopedia.ru/program/magistratura/12614
246,Экологическая и криминалистическая экспертиза,04.04.01,Химия,"Лаборант химико-бактериологического анализа, Химик-технолог, Химик-криминалист, химик судебно-медицинской экспертизыи остальные",168000.0,,,65.0,15.0,https://vuzopedia.ru/program/magistratura/12611
247,Космическая физика,03.04.02,Физика,"Астрофизик, Инженер-физик, Физики остальные",,15.0,,,,https://vuzopedia.ru/program/magistratura/12608
248,Цифровые технологии в медицине,01.04.02,Прикладная математика и информатика,"Архитектор медицинского оборудования, Инженер по медицинской технике, Руководитель по цифровой трансформации (CDO – Chief Data Officer)и остальные",,20.0,,,,https://vuzopedia.ru/program/magistratura/12605
249,Стратегический менеджмент и инновации в образовании,44.04.04,Профессиональное обучение (по отраслям),"Инновационный менеджер, Менеджер по развитию, Руководитель в сфере образованияи остальные",86800.0,10.0,,24.0,10.0,https://vuzopedia.ru/program/magistratura/12602
250,Психология кризисного консультирования,37.04.01,Психология,"Коррекционный психолог, специальный психолог, Специалист по психологическому обеспечению в чрезвычайной ситуации, Психолог-консультанти остальные",70000.0,,,24.0,28.0,https://vuzopedia.ru/program/magistratura/12599
251,Системный анализ и управление информационными системами на транспорте,27.04.03,Системный анализ и управление,"Инженер по организации перевозок и управлению на транспорте, Информатик (специалист по информационным технологиям), Системный аналитики остальные",,10.0,,,,https://vuzopedia.ru/program/magistratura/12596
252,Технологии гостинично-ресторанного сервиса,43.04.01,Сервис,"Менеджер ресторана, Администратор гостиницы, Менеджер гостиничного сервисаи остальные",60000.0,5.0,,45.0,50.0,https://vuzopedia.ru/program/magistratura/12594
253,Стратегическое управление бизнес-процессами отраслевых организаций,38.04.02,Менеджмент,"Менеджер непрерывности бизнеса, Антикризисный управляющий, Специалист по бизнес-планированию и разработке бизнес-планови остальные",60000.0,,,45.0,125.0,https://vuzopedia.ru/program/magistratura/12591
254,Интеллектуальные технологии и инновации в агроинженерии,35.04.06,Агроинженерия,"Агроинженер, Агроинформатик (агрокибернетик), Intelligent Systems Developer (разработчик интеллектуальных систем)и остальные",55000.0,,,45.0,15.0,https://vuzopedia.ru/program/magistratura/12588
255,"Биотехнологические производства на основе микробного синтеза, биокатализа и генной инженерии",19.04.01,Биотехнология,"Биотехнолог, Генный инженер, Системный биотехнологи остальные",55000.0,6.0,,45.0,30.0,https://vuzopedia.ru/program/magistratura/12585
256,Роботизированные комплексы аддитивного производства и предиктивное обслуживание мехатронны..,15.04.06,Мехатроника и робототехника,"Инженер-мехатроник, Техник-мехатроник, Проектировщик-эргономист роботизированных системи остальные",45000.0,8.0,,45.0,30.0,https://vuzopedia.ru/program/magistratura/12582
257,Инженерия промышленных технических систем,15.04.02,Технологические машины и оборудование,"Инженер-технолог, Инженер-разработчик аппаратного обеспечения, Техник, старший техники остальные",55000.0,9.0,,45.0,45.0,https://vuzopedia.ru/program/magistratura/12579
258,Прикладные цифровые комплексы,09.04.03,Прикладная информатика,"Информатик-технолог, Информатик (специалист по информационным технологиям), Специалист по прикладной информатикеи остальные",55000.0,23.0,,45.0,45.0,https://vuzopedia.ru/program/magistratura/12576
259,Психолого-педагогическое сопровождение в системе образования,44.04.01,Педагогическое образование,"Психолог, Педагог-психолог, Практический психологи остальные",70000.0,,,40.0,15.0,https://vuzopedia.ru/program/magistratura/12574
260,Психологическая деятельность и экспертиза,37.04.01,Психология,"Психолог, Инженерный психолог, Практический психологи остальные",102000.0,,,40.0,20.0,https://vuzopedia.ru/program/magistratura/12571
261,Прикладная информатика в технике и технологии,09.04.03,Прикладная информатика,"Информатик-технолог, Информатик (специалист по информационным технологиям), Учитель математики и информатикии остальные",102000.0,,,40.0,15.0,https://vuzopedia.ru/program/magistratura/12568
262,Цифровая трансформация технических систем,35.04.06,Агроинженерия,"Системный администратор, Техник по информационным системам, Руководитель по цифровой трансформации (CDO – Chief Data Officer)и остальные",102000.0,16.0,,40.0,4.0,https://vuzopedia.ru/program/magistratura/12565
263,Электроэнергетика и электротехника,35.04.06,Агроинженерия,"Инженер-электротехник, Слесарь-электрик по ремонту электрооборудования, Техник-электрики остальные",280000.0,25.0,,40.0,1.0,https://vuzopedia.ru/program/magistratura/12562
264,Экономическая оценка и управление инвестиционной деятельностью,38.04.01,Экономика,"Бухгалтер-экономист, Инвестиционный специалист, Инвестиционный аналитики остальные",70000.0,,,40.0,15.0,https://vuzopedia.ru/program/magistratura/12559
265,Инновационное управление и экономическое развитие малых городов и сельских территорий,38.04.04,Государственное и муниципальное управление,"Менеджер по развитию, Руководитель по развитию городской среды, Специалист (менеджер) по устойчивому развитиюи остальные",253000.0,,,40.0,10.0,https://vuzopedia.ru/program/magistratura/12556
266,Психология карьерного консультирования,44.04.02,Психолого-педагогическое образование,"Психолог, Корпоративный психолог, Психолог-консультанти остальные",67000.0,9.0,,40.0,15.0,https://vuzopedia.ru/program/magistratura/12555
267,Корпоративные и публичные финансы,38.04.01,Экономика,"Финансист, Финансовый менеджер, Финансовый консультанти остальные",67000.0,,,40.0,15.0,https://vuzopedia.ru/program/magistratura/12552
268,Российско-китайский диалог,41.04.05,Международные отношения,"Специалист в области международных отношений, Экономист-международник, Юрист-международники остальные",204600.0,,,40.0,6.0,https://vuzopedia.ru/program/magistratura/12549
269,"Проектирование, строительство объектов производства и транспортировки СПГ",08.04.01,Строительство,"Инженер-строитель, Менеджер строительного проекта, Специалист по модернизации строительных технологийи остальные",,10.0,,,,https://vuzopedia.ru/program/magistratura/12546
270,Функционирование биологических систем,06.04.01,Биология,"Биолог, Биолог-исследователь, Микробиологи остальные",,6.0,,,,https://vuzopedia.ru/program/magistratura/12544
271,Физиологические основы здоровьесбережения,06.04.01,Биология,"Нейробиолог (нейрофизиолог), Биолог-исследователь, Фитнес-тренер (тренер по фитнесу)и остальные",178000.0,,,40.0,15.0,https://vuzopedia.ru/program/magistratura/12541
272,Физико-химические методы исследования в химии,04.04.01,Химия,"Химик-технолог, Инженер-химик, Химик-лаборант, лаборант-исследовательи остальные",178000.0,,,40.0,10.0,https://vuzopedia.ru/program/magistratura/12538
273,Информационные технологии и бизнес-аналитика в сфере биотехнологий,09.04.01,Информатика и вычислительная техника,"Информатик (специалист по информационным технологиям), Техник по информационным системам, Специалист по информационным технологиям в медицинеи остальные",377000.0,22.0,,50.0,8.0,https://vuzopedia.ru/program/magistratura/12535
274,Управление разработками и технологиями упаковочной отрасли,29.04.03,Технология полиграфического и упаковочного производства,"Дизайнер упаковки, Инженер-технолог, Машинист расфасовочно-упаковочных машини остальные",420000.0,15.0,,50.0,5.0,https://vuzopedia.ru/program/magistratura/12532
275,Биотехнология и устойчивое развитие мясной и молочной отрасли,19.04.01,Биотехнология,"Биоинженер, Биотехнолог, Инженер-технолог молока и молочных продуктови остальные",420000.0,15.0,,50.0,5.0,https://vuzopedia.ru/program/magistratura/12529
276,Биоинформатика и моделирование биологических систем,19.04.01,Биотехнология,"Биотехнолог, Биоинформатик, Биохимики остальные",339000.0,7.0,,50.0,13.0,https://vuzopedia.ru/program/magistratura/12526
277,Функциональные ингредиенты и БАД: биодизайн и системная инженерия,19.04.01,Биотехнология,"Биоинженер, Биотехнолог, Биологи остальные",420000.0,15.0,,50.0,5.0,https://vuzopedia.ru/program/magistratura/12523
278,Химия и технология полимерных материалов и косметических средств,18.04.01,Химическая технология,"Химик-разработчик, технолог по продукту, Химик-технолог, Химик-неорганики остальные",420000.0,15.0,,50.0,5.0,https://vuzopedia.ru/program/magistratura/12520
279,Управление эпизоотическими рисками и прогнозирование биологических угроз,36.04.01,Ветеринарно-санитарная экспертиза,"Ветеринар, Ветеринарно-санитарный врач, Ветеринарный фельдшери остальные",377000.0,38.0,,50.0,3.0,https://vuzopedia.ru/program/magistratura/12517
280,"Железобетонные и каменные конструкции, реконструкция и техническая эксплуатация зданий и с..",08.04.01,Строительство,"Инженер-строитель, Инженер-строитель мостов и тоннелей, Инженер-строитель автомобильных дороги остальные",186368.0,7.0,,40.0,10.0,https://vuzopedia.ru/program/magistratura/12515
281,Управление международным производственным бизнесом,38.04.02,Менеджмент,"Менеджер, Менеджер проекта, Специалист по бизнес-планированию и разработке бизнес-планови остальные",159800.0,,,40.0,10.0,https://vuzopedia.ru/program/magistratura/12512
282,Проектный менеджмент,38.04.02,Менеджмент,"Event-менеджер, Менеджер строительного проекта, Менеджери остальные",65368.0,,,55.0,235.0,https://vuzopedia.ru/program/magistratura/12511
283,Научная деятельность в области ветеринарии,36.04.01,Ветеринарно-санитарная экспертиза,"Ветеринар, Ветеринарно-санитарный врач, Ветеринарный фельдшери остальные",,9.0,,,,https://vuzopedia.ru/program/magistratura/12508
284,Государственный ветеринарно-санитарный инспектор,36.04.01,Ветеринарно-санитарная экспертиза,"Ветеринар, Ветеринарный врач (ветеринар), Санитар ветеринарныйи остальные",,7.0,,,,https://vuzopedia.ru/program/magistratura/12505
285,Ветеринарно-санитарный эксперт,36.04.01,Ветеринарно-санитарная экспертиза,"Ветеринар, Ветеринарно-санитарный врач, Санитар ветеринарныйи остальные",,7.0,,,,https://vuzopedia.ru/program/magistratura/12502
286,Эколог агроландшафтов,35.04.03,Агрохимия и агропочвоведение,"Геоэколог, Агроэколог, Эксперт-экологи остальные",,10.0,,,,https://vuzopedia.ru/program/magistratura/12499
287,Ветеринарная биотехнология,19.04.01,Биотехнология,"Ветеринар, Ветеринарно-санитарный врач, Ветеринарный врач (ветеринар)и остальные",54566.0,13.0,,55.0,21.0,https://vuzopedia.ru/program/magistratura/12496
288,Прикладная биоинформатика,09.04.03,Прикладная информатика,"Биоинженер, Биоинформатик, Клинический биоинформатики остальные",93635.0,,,55.0,10.0,https://vuzopedia.ru/program/magistratura/12493
289,"Православная теология, методика преподавания",48.04.01,Теология,"Теолог, Религиовед, Преподаватель религиоведенияи остальные",46550.0,,,30.0,20.0,https://vuzopedia.ru/program/magistratura/12490
290,Интеллектуальные вычислительные системы,09.04.01,Информатика и вычислительная техника,"Инженер-разработчик аппаратного обеспечения, Intelligent Systems Developer (разработчик интеллектуальных систем), Программист высокопроизводительных вычислительных системи остальные",149460.0,20.0,,30.0,10.0,https://vuzopedia.ru/program/magistratura/12487
291,Управление и развитие в социальной сфере,39.04.02,Социальная работа,"Специалист по социальной работе, Социальный работник, Социальный инженери остальные",199900.0,15.0,,40.0,15.0,https://vuzopedia.ru/program/magistratura/12484
292,Агрохимия и фитосанитарная безопасность,35.04.03,Агрохимия и агропочвоведение,"Агроном, Агрохимик, Агроэкологи остальные",200000.0,10.0,,55.0,2.0,https://vuzopedia.ru/program/magistratura/12481
293,Историческая аналитика,46.04.01,История,"Историк, Аналитик данных, Исторический консультант, исторический реконструктори остальные",146000.0,15.0,,50.0,2.0,https://vuzopedia.ru/program/magistratura/12478
294,Сторителлинг и имиджелогия в креативных индустриях,45.04.01,Филология,"Имиджмейкер, Креативный директор, Филолог (филолог-исследователь)и остальные",146000.0,14.0,,50.0,2.0,https://vuzopedia.ru/program/magistratura/12475
295,Реабилитация лиц с ограниченными возможностями здоровья и адаптивная физическая культура,44.04.03,Специальное (дефектологическое) образование,"Дефектолог, Фитнес-тренер (тренер по фитнесу), Социальный работник по адаптации людей с ограниченными возможностями через Интернети остальные",96000.0,12.0,,30.0,28.0,https://vuzopedia.ru/program/magistratura/12472
296,Информационные технологии в музыкальном образовании,44.04.01,Педагогическое образование,"Педагог, Учитель, Учитель музыки и пенияи остальные",146430.0,,,50.0,10.0,https://vuzopedia.ru/program/magistratura/12469
297,Интеграция дисциплин естественно-научного цикла в условиях трансформации образования,44.04.01,Педагогическое образование,"Педагог, Учитель биологии, Учитель химиии остальные",146430.0,10.0,,50.0,2.0,https://vuzopedia.ru/program/magistratura/12466
298,Лингводидактика и межкультурная коммуникация (английский/немецкий/китайский язык),44.04.01,Педагогическое образование,"Лингвист, Лингвист-исследователь, Менеджер по межкультурной коммуникациии остальные",146430.0,10.0,,50.0,2.0,https://vuzopedia.ru/program/magistratura/12463
299,Технологии искусственного интеллекта в образовательных практиках,44.04.01,Педагогическое образование,"Педагог, Intelligent Systems Developer (разработчик интеллектуальных систем), Специалист по искусственному интеллектуи остальные",146430.0,10.0,,50.0,3.0,https://vuzopedia.ru/program/magistratura/12460
300,Управление туристскими проектами в условиях креативной экономики,43.04.02,Туризм,"Инженер-экономист, Менеджер по туризму, Специалист по туризмуи остальные",146000.0,15.0,,50.0,3.0,https://vuzopedia.ru/program/magistratura/12457
301,Мехатроника и автоматизация сельскохозяйственной техники,35.04.06,Агроинженерия,"Инженер-мехатроник, Инженер-мехатроник в автомобилестроении, Техник-мехатроники остальные",146430.0,7.0,,50.0,5.0,https://vuzopedia.ru/program/magistratura/12454
302,Психология и психодиагностика в образовании,44.04.02,Психолого-педагогическое образование,"Педагог-психолог, Педагог-организатор, Психолог-консультанти остальные",96000.0,,,40.0,30.0,https://vuzopedia.ru/program/magistratura/12453
303,Управление ресторанным и гостиничным бизнесом,38.04.02,Менеджмент,"Менеджер ресторана, Администратор гостиницы, Менеджер гостиничного сервисаи остальные",156939.0,,,40.0,30.0,https://vuzopedia.ru/program/magistratura/12450
304,Российско-китайский бизнес и международные экономические отношения,38.04.01,Экономика,"Специалист в области международных отношений, Экономист-международник, Экономисти остальные",105000.0,,,40.0,45.0,https://vuzopedia.ru/program/magistratura/12447
305,Логопедическое сопровождение обучающихся начальных классов,44.04.03,Специальное (дефектологическое) образование,"Дефектолог, Логопед, Учитель-дефектологи остальные",54500.0,6.0,,40.0,8.0,https://vuzopedia.ru/program/magistratura/12444
306,Правовое образование и судебная лингвистическая экспертиза,44.04.01,Педагогическое образование,"Преподаватель лингвистики, Лингвист-исследователь, Учитель права (преподаватель правовых дисциплин)и остальные",42900.0,12.0,,50.0,10.0,https://vuzopedia.ru/program/magistratura/12443
307,Правовое образование и кризисная психология,44.04.01,Педагогическое образование,"Учитель, Педагог-психолог, Учитель права (преподаватель правовых дисциплин)и остальные",103900.0,15.0,,50.0,5.0,https://vuzopedia.ru/program/magistratura/12440
308,Международные отношения и трансграничное сотрудничество,44.04.01,Педагогическое образование,"Специалист по международному образованию, Специалист в области международных отношений, Юрист-международники остальные",103900.0,18.0,,50.0,5.0,https://vuzopedia.ru/program/magistratura/12437
309,Русский язык как иностранный в полиэтническом и поликультурном пространстве,44.04.01,Педагогическое образование,"Лингвист, Учитель русского языка и литературы, Преподаватель русского языка как иностранногои остальные",103900.0,17.0,,50.0,5.0,https://vuzopedia.ru/program/magistratura/12434
310,"Цифровые инновации в филологии, лингводидактике и медиалингвистике",44.04.01,Педагогическое образование,"Лингвист, Преподаватель филологии (филологических дисциплин), Цифровой лингвисти остальные",103900.0,17.0,,50.0,5.0,https://vuzopedia.ru/program/magistratura/12431
311,"Психология здоровья, физической культуры и спорта",37.04.01,Психология,"Психолог, Педагог-психолог, Спортивный психологи остальные",48300.0,,,50.0,20.0,https://vuzopedia.ru/program/magistratura/12428
