id,name,code,sphere,career_prospects,cost,min_budget_score,budget_places,min_paid_score,paid_places,url
30,"Устойчивые проекты онлайн-образования: ИИ-технологии, финансы, управление",38.04.02,Менеджмент,"Педагог, Координатор образовательной онлайн-платформы, Продюсер онлайн-курсови остальные",340000.0,,,40.0,12.0,https://vuzopedia.ru/program/magistratura/13336
31,Цифровая трансформация бизнеса: экономика и информационные технологии,38.04.01,Экономика,"Инженер-экономист, Информатик (специалист по информационным технологиям), Руководитель по цифровой трансформации (CDO – Chief Data Officer)и остальные",262800.0,,,40.0,15.0,https://vuzopedia.ru/program/magistratura/13332
32,Инновационные методы конструирования и технологии изделий из кожи,29.04.05,Конструирование изделий легкой промышленности,"Технолог швейных изделий, Технолог текстильного производства, Технолог (инженер-технолог) трикотажного производстваи остальные",374000.0,6.0,,40.0,8.0,https://vuzopedia.ru/program/magistratura/13328
33,Цифровые технологии в художественной обработке материалов и ювелирном искусстве,29.04.04,Технология художественной обработки материалов,"Ювелир, Инженер-технолог художественной обработки металлов, Информатик (специалист по информационным технологиям)и остальные",306000.0,10.0,,40.0,7.0,https://vuzopedia.ru/program/magistratura/13324
34,Управление качеством изделий текстильной и легкой промышленности,29.04.02,Технология и проектирование текстильных изделий,"Технолог швейных изделий, Технолог текстильного производства, Технолог лёгкой промышленностии остальные",374000.0,7.0,,40.0,5.0,https://vuzopedia.ru/program/magistratura/13320
35,Инновационные методы технологии и конструирования изделий из кожи,29.04.01,Технология изделий легкой промышленности,"Модельер-конструктор одежды, Технолог швейных изделий, Технолог-конструктори остальные",374000.0,6.0,,40.0,7.0,https://vuzopedia.ru/program/magistratura/13316
36,Сертификация и экспертиза изделий текстильной и легкой промышленности,27.04.01,Стандартизация и метрология,"Контролер качества текстильных изделий, Технолог текстильного производства, Специалист по стандартизации и сертификации продукциии остальные",306000.0,5.0,,40.0,7.0,https://vuzopedia.ru/program/magistratura/13312
37,Интеллектуальные технологии в системах автоматизации и робототехнике,15.04.04,Автоматизация технологических процессов и производств,"Инженер по автоматизации и механизации, Специалист по интегрированным интеллектуальным робототехническим комплексам, Разработчик интеллектуальных систем управления динамической диспетчеризациейи остальные",306000.0,7.0,,40.0,10.0,https://vuzopedia.ru/program/magistratura/13308
38,Цифровая трансформация бизнеса: информационные технологии и экономика,09.04.02,Информационные системы и технологии,"Информатик-технолог, Информатик (специалист по информационным технологиям), Руководитель по цифровой трансформации (CDO – Chief Data Officer)и остальные",374000.0,6.0,,40.0,12.0,https://vuzopedia.ru/program/magistratura/13304
39,"Устойчивые продукты онлайн-образования: ИИ-технологии, финансы, управление",09.04.02,Информационные системы и технологии,"Специалист по искусственному интеллекту, Специалист по информационным технологиям в образовании, Проектировщик индивидуальных траекторий (разработчик образовательных траекторий)и остальные",374000.0,6.0,,40.0,14.0,https://vuzopedia.ru/program/magistratura/13300
40,Дизайн систем управления на основе искусственного интеллекта,09.04.01,Информатика и вычислительная техника,"Дизайнер компьютерных программ, Специалист по искусственному интеллекту, Техник по информационным системами остальные",306000.0,7.0,,40.0,7.0,https://vuzopedia.ru/program/magistratura/13296
41,Судебная защита прав и законных интересов,40.04.01,Юриспруденция,"Юрист по земельно-имущественным отношениям, Юрист по трудовому праву, Юристи остальные",,2.0,,,,https://vuzopedia.ru/program/magistratura/13293
42,Правовые основы государственного и муниципального управления,40.04.01,Юриспруденция,"Корпоративный юрист, Специалист государственного и муниципального управления, Юрист по земельно-имущественным отношениями остальные",,1.0,,,,https://vuzopedia.ru/program/magistratura/13289
43,Русский язык в поликультурном пространстве,45.04.01,Филология,"Лингвист-исследователь, Филолог-русист (русист), Учитель русского языка и литературыи остальные",131000.0,,,15.0,10.0,https://vuzopedia.ru/program/magistratura/13285
44,Магистр прикладной юриспруденции,40.04.01,Юриспруденция,"Корпоративный юрист, Юрист по трудовому праву, Юристи остальные",65000.0,2.0,,15.0,18.0,https://vuzopedia.ru/program/magistratura/13281
45,Экологический инжиниринг и менеджмент,05.04.06,Экология и природопользование,"Менеджер-эколог, Эксперт-эколог, Инженер-экологи остальные",120000.0,,,15.0,20.0,https://vuzopedia.ru/program/magistratura/13277
46,Профориентология и профессиональная ориентация,44.04.01,Педагогическое образование,"Педагог, Социальный педагог, Профориентологи остальные",126000.0,10.0,,50.0,10.0,https://vuzopedia.ru/program/magistratura/13274
47,Руководство образовательной деятельностью,44.04.01,Педагогическое образование,"Педагог, Руководитель, Руководитель в сфере образованияи остальные",126000.0,5.0,,50.0,10.0,https://vuzopedia.ru/program/magistratura/13270
48,Управление в воспитании и дополнительном образовании,44.04.01,Педагогическое образование,"Директор по воспитательной работе, Педагог дополнительного образования, Специалист по управлению в учреждениях дополнительного образованияи остальные",126000.0,5.0,,50.0,10.0,https://vuzopedia.ru/program/magistratura/13266
49,Безопасность образовательных организаций,44.04.01,Педагогическое образование,"Педагог, Инженер по охране труда и технике безопасности, Специалист по безопасностии остальные",126000.0,,,50.0,10.0,https://vuzopedia.ru/program/magistratura/13262
50,Географическое образование и этнографический туризм,44.04.01,Педагогическое образование,"Биогеограф, Географ, Этнографи остальные",290000.0,15.0,,50.0,10.0,https://vuzopedia.ru/program/magistratura/13258
51,Биоинформатика и анализ больших данных в экологическом мониторинге,06.04.01,Биология,"Биоинформатик, Инженер-эколог, Специалист-технолог в области экологических биотехнологийи остальные",221500.0,,,50.0,10.0,https://vuzopedia.ru/program/magistratura/13254
52,Нейродефектология в системе образования лиц с ограниченными возможностями здоровья,44.04.03,Специальное (дефектологическое) образование,"Дефектолог, Педагог-нейродефектолог, Учитель-дефектологи остальные",125000.0,,,50.0,10.0,https://vuzopedia.ru/program/magistratura/13250
53,Проектирование и экспертиза образовательных систем,44.04.01,Педагогическое образование,"Педагог, Педагог-организатор, Проектировщик индивидуальных траекторий (разработчик образовательных траекторий)и остальные",126000.0,,,50.0,10.0,https://vuzopedia.ru/program/magistratura/13246
54,Социальная психология личности: консультирование и психотерапия,37.04.01,Психология,"Психолог, Социальный психолог, Психолог-консультанти остальные",110000.0,,,50.0,10.0,https://vuzopedia.ru/program/magistratura/13242
55,Психология организаций и бизнеса,37.04.01,Психология,"Корпоративный психолог, Практический психолог, Психолог-консультанти остальные",110000.0,,,50.0,10.0,https://vuzopedia.ru/program/magistratura/13238
56,Криминалистика и уголовное судопроизводство,40.04.01,Юриспруденция,"Корпоративный юрист, Криминалист, Юристи остальные",126600.0,,,50.0,20.0,https://vuzopedia.ru/program/magistratura/13234
57,Цифровые инновации в области физико-математического образования,44.04.01,Педагогическое образование,"Учитель математики, Учитель математики и физики, Учитель физикии остальные",290000.0,,,50.0,10.0,https://vuzopedia.ru/program/magistratura/13230
58,Организация инновационных систем управления и производства,27.04.05,Инноватика,"Инновационный менеджер, Провизор-организатор, Эксперт в области науки, технологий и инновацийи остальные",,7.0,,,,https://vuzopedia.ru/program/magistratura/13226
59,Цифровой инжиниринг и интеллектуальные технологические комплексы,15.04.04,Автоматизация технологических процессов и производств,"Программист, Инженер по автоматизации и механизации, Информатик (специалист по информационным технологиям)и остальные",,10.0,,,,https://vuzopedia.ru/program/magistratura/13222
60,Управление воспитательной деятельностью в образовательной организации,44.04.01,Педагогическое образование,"Методист в сфере образования, Педагог-психолог, Директор по воспитательной работеи остальные",,8.0,,,,https://vuzopedia.ru/program/magistratura/13218
61,Цифровые технологии в прикладной геофизике / digital technologies in applied geophysics,09.04.02,Информационные системы и технологии,"Геофизик, Информатик-технолог, Информатик (специалист по информационным технологиям)и остальные",231800.0,8.0,,40.0,10.0,https://vuzopedia.ru/program/magistratura/13217
62,Геоэкологические исследования и инжиниринг / Environmental sciences and Engineering,05.04.06,Экология и природопользование,"Геоэколог, Инженер-эколог, Техник-экологи остальные",269500.0,5.0,,40.0,10.0,https://vuzopedia.ru/program/magistratura/13213
63,Проектный инжиниринг в нефтегазохимической отрасли,27.04.05,Инноватика,"Инженер по технологическому обеспечению работы нефтегазового промысла, Конструктор-проектировщик нефтегазового оборудования, Специалист по диспетчерско-технологическому управлению нефтегазовой отраслии остальные",265000.0,13.0,,40.0,5.0,https://vuzopedia.ru/program/magistratura/13209
