id,name,code,sphere,career_prospects,cost,min_budget_score,budget_places,min_paid_score,paid_places,url
328,Проектирование образовательных программ. Специальная педагогика и психология,44.03.05,Педагогическое образование (с двумя профилями подготовки),"Психолог, Педагог-психологи остальные",,12.0,,125.0,8.0,https://vuzopedia.ru/program/bakispec/12245
329,Проектирование образовательных программ. Психология образования,44.03.05,Педагогическое образование (с двумя профилями подготовки),"Психолог, Педагог-психологи остальные",,10.0,,125.0,10.0,https://vuzopedia.ru/program/bakispec/12241
330,Основы производства продукции с улучшенными характеристиками,35.03.03,Агрохимия и агропочвоведение,Техник-технологи остальные,,30.0,,120.0,20.0,https://vuzopedia.ru/program/bakispec/12240
331,Технология перерабатывающих производств в АПК,35.03.07,Технология производства и переработки сельскохозяйственной продукции,Техник-технологи остальные,50000.0,145.0,60.0,120.0,53.0,https://vuzopedia.ru/program/bakispec/12236
332,Информационные технологии в зооинжиниринге,36.03.02,Зоотехния,"Программист, Информатик (специалист по информационным технологиям)и остальные",,30.0,,120.0,20.0,https://vuzopedia.ru/program/bakispec/12232
333,"Физика, Образовательная робототехника и 3D моделирование",44.03.05,Педагогическое образование (с двумя профилями подготовки),"Педагог, Учитель, Преподаватель технических дисциплини остальные",,22.0,,125.0,35.0,https://vuzopedia.ru/program/bakispec/12231
334,Экономика и технологическое образование,44.03.04,Профессиональное обучение (по отраслям),"Педагог, Преподаватель экономики, Преподавательи остальные",,20.0,,120.0,40.0,https://vuzopedia.ru/program/bakispec/12227
335,Биоинженерия,12.03.04,Биотехнические системы и технологии,"Инженер, Биоинженер, Биотехнологи остальные",,15.0,,120.0,10.0,https://vuzopedia.ru/program/bakispec/12226
336,Цифровой инжиниринг в машиностроении,09.03.04,Программная инженерия,"Инженер, Программист, Инженер-машиностроительи остальные",,20.0,,121.0,10.0,https://vuzopedia.ru/program/bakispec/12222
337,Программирование и разработка интеллектуальных информационных систем,09.03.03,Прикладная информатика,"Программист, Intelligent Systems Developer (разработчик интеллектуальных систем), Техник-программисти остальные",,65.0,,121.0,10.0,https://vuzopedia.ru/program/bakispec/12218
338,Экономика и бренд-менеджмент в сфере ландшафтного дизайна,35.03.05,Садоводство,Экономисти остальные,65000.0,219.0,40.0,109.0,10.0,https://vuzopedia.ru/program/bakispec/12216
339,Цифровые и интеллектуальные технологии в электроэнергетике,13.03.02,Электроэнергетика и электротехника,Инженер-энергетики остальные,161400.0,20.0,,99.0,5.0,https://vuzopedia.ru/program/bakispec/12213
340,Финансовые технологии (FinTech),09.03.02,Информационные системы и технологии,"Финансист, Финансовый инженери остальные",161400.0,,,99.0,20.0,https://vuzopedia.ru/program/bakispec/12210
341,Планирование и управление в транспортном комплексе,23.03.01,Технология транспортных процессов,"Инженер по безопасности транспортной сети, Инженер по организации перевозок и управлению на транспорте, Транспортный планировщики остальные",70000.0,19.0,,120.0,315.0,https://vuzopedia.ru/program/bakispec/12209
342,Экономика и управление организации туристских кластеров,43.03.02,Туризм,"Менеджер по туризму, Специалист по туризму, Руководительи остальные",,,,125.0,10.0,https://vuzopedia.ru/program/bakispec/12206
343,Промысловая геология,21.05.02,Прикладная геология,"Геолог, Инженер-геолог, Промысловый геологи остальные",,,,120.0,100.0,https://vuzopedia.ru/program/bakispec/12204
344,"Зарубежная филология (основной язык: немецкий, второй язык: английский)",45.03.01,Филология,"Филолог (филолог-исследователь), Филолог-англист (англист), Филолог-германист (германист)и остальные",,15.0,,120.0,2.0,https://vuzopedia.ru/program/bakispec/12200
345,Умные сервисы высокотехнологичных производств,09.03.01,Информатика и вычислительная техника,"Программист, Системный аналитик, Системный программисти остальные",324000.0,15.0,,121.0,15.0,https://vuzopedia.ru/program/bakispec/12196
