id,name,code,sphere,career_prospects,cost,min_budget_score,budget_places,min_paid_score,paid_places,url
1,Музыка и дополнительное образование (театральное творчество),44.03.05,Педагогическое образование (с двумя профилями подготовки),"Педагог, Педагог дополнительного образованияи остальные",,12.0,,124.0,10.0,https://vuzopedia.ru/program/bakispec/13302
2,Кадровый менеджмент (HR-менеджмент),44.03.04,Профессиональное обучение (по отраслям),"Педагог, Специалист по кадрам, Преподавательи остальные",,,,120.0,50.0,https://vuzopedia.ru/program/bakispec/13290
3,Торговля непродовольственными товарами,44.03.04,Профессиональное обучение (по отраслям),"Торговый агент, Педагог, Преподавательи остальные",,,,125.0,50.0,https://vuzopedia.ru/program/bakispec/13286
4,Страхование,44.03.04,Профессиональное обучение (по отраслям),"Педагог, Преподаватель, Специалист страхового делаи остальные",,,,125.0,50.0,https://vuzopedia.ru/program/bakispec/13282
5,Реклама в креативных индустриях,44.03.04,Профессиональное обучение (по отраслям),"Педагог, Преподаватель, Специалист по рекламеи остальные",,,,125.0,300.0,https://vuzopedia.ru/program/bakispec/13278
6,Реклама в медиаиндустрии,44.03.04,Профессиональное обучение (по отраслям),"Педагог, Преподаватель, Специалист по рекламеи остальные",,,,125.0,240.0,https://vuzopedia.ru/program/bakispec/13274
7,Мехатронные системы вертикального транспорта,15.03.02,Технологические машины и оборудование,"Инженер, Инженер-мехатроник, Техник-мехатроники остальные",,40.0,,121.0,100.0,https://vuzopedia.ru/program/bakispec/13270
8,Связи с общественностью в сфере государственного и муниципального управления,44.03.04,Профессиональное обучение (по отраслям),"Педагог, Преподаватель государственного и муниципального управления, Преподавательи остальные",,,,125.0,100.0,https://vuzopedia.ru/program/bakispec/13266
9,Экономика и технология на предприятиях текстильной промышленности,29.03.02,Технология и проектирование текстильных изделий,"Контролер качества текстильных изделий, Технолог текстильного производства, Менеджер по качествуи остальные",,5.0,,120.0,50.0,https://vuzopedia.ru/program/bakispec/13265
10,Информационные технологии и программирование в автоматизации,27.03.04,Управление в технических системах,"Программист, Инженер по автоматизации и механизации, Техник-программисти остальные",400000.0,25.0,,120.0,5.0,https://vuzopedia.ru/program/bakispec/13261
11,Роботизированные системы и искусственный интеллект,27.03.04,Управление в технических системах,"Инженер, Инженер по автоматизации и механизации, Робототехники остальные",400000.0,25.0,,120.0,5.0,https://vuzopedia.ru/program/bakispec/13257
12,Управление цифровыми платформами,09.03.03,Прикладная информатика,"Аналитик данных, Менеджер проекта, Системный архитектор, архитектор программного обеспеченияи остальные",400000.0,231.0,25.0,138.0,5.0,https://vuzopedia.ru/program/bakispec/13253
13,"Проектирование и интеграция информационных систем: архитектура, дизайн, DevOps",09.03.01,Информатика и вычислительная техника,"Информатик (специалист по информационным технологиям), Intelligent Systems Developer (разработчик интеллектуальных систем), Системный архитектор, архитектор программного обеспеченияи остальные",400000.0,233.0,42.0,198.0,2.0,https://vuzopedia.ru/program/bakispec/13249
14,Операционный менеджмент в индустрии гостеприимства,19.03.04,Технология продукции и организация общественного питания,"Администратор, Менеджер, Руководительи остальные",550000.0,40.0,,120.0,10.0,https://vuzopedia.ru/program/bakispec/13245
15,Мировые рынки биотехнологий (сетевая программа с МГИМО МИД России),38.03.02,Менеджмент,"Менеджер, Менеджер проекта, Руководительи остальные",650000.0,,,120.0,20.0,https://vuzopedia.ru/program/bakispec/13241
16,Управление бизнесом в биоэкономике,38.03.02,Менеджмент,"Менеджер, Предпринимательи остальные",,8.0,,,,https://vuzopedia.ru/program/bakispec/13237
17,Безопасность технологических производств и экосистем,20.03.01,Техносферная безопасность,"Специалист по техносферной безопасности, Специалист по безопасности, Экологи остальные",380000.0,186.0,29.0,168.0,3.0,https://vuzopedia.ru/program/bakispec/13235
18,Генная инженерия и моделирование биологических систем,06.05.01,Биоинженерия и биоинформатика,"Биоинженер, Биолог, Генный инженери остальные",450000.0,,,120.0,25.0,https://vuzopedia.ru/program/bakispec/13231
19,Ветеринария мелких домашних и экзотических животных,36.05.01,Ветеринария,"Ветеринар, Ветеринарный врач (ветеринар), Ветеринарный фельдшери остальные",190000.0,213.0,40.0,130.0,30.0,https://vuzopedia.ru/program/bakispec/13227
20,Управление биологической безопасностью,36.03.01,Ветеринарно-санитарная экспертиза,"Ветеринарно-санитарный врач, Санитар ветеринарный, Специалист по безопасностии остальные",400000.0,190.0,45.0,157.0,8.0,https://vuzopedia.ru/program/bakispec/13223
21,Дизайн и брендинг упаковочных решений,29.03.03,Технология полиграфического и упаковочного производства,"Бренд-дизайнер, Дизайнер упаковки, Дизайнери остальные",180000.0,41.0,,120.0,44.0,https://vuzopedia.ru/program/bakispec/13219
22,Химия и биотехнология полимеров,18.03.01,Химическая технология,"Биотехнолог, Химик, Специалист по химии полимерных соединений, химик-полимерщики остальные",390000.0,218.0,39.0,149.0,3.0,https://vuzopedia.ru/program/bakispec/13215
23,Биоэкономика: геномные технологии и биоинформатика,19.03.01,Биотехнология,"Биотехнолог, Биоинформатик, Биологи остальные",430000.0,254.0,38.0,137.0,10.0,https://vuzopedia.ru/program/bakispec/13211
24,"Технологии кондитерских изделий, шоколада и кофе",19.03.02,Продукты питания из растительного сырья,"Биотехнолог, Инженер-технолог пищевого производства, Технолог пищевого производстваи остальные",390000.0,192.0,32.0,168.0,9.0,https://vuzopedia.ru/program/bakispec/13207
25,Технологии продуктов длительного хранения,19.03.01,Биотехнология,"Биотехнолог, Технолог пищевого производства, Системный биотехнологи остальные",430000.0,25.0,,120.0,5.0,https://vuzopedia.ru/program/bakispec/13203
26,Разработка программного обеспечения цифровых комплексов,45.03.04,Интеллектуальные системы в гуманитарной сфере,Программисти остальные,100000.0,,,120.0,1200.0,https://vuzopedia.ru/program/bakispec/13200
27,Практическая и консультативная психология,44.03.02,Психолого-педагогическое образование,"Психолог, Психолог-консультанти остальные",100000.0,,,125.0,720.0,https://vuzopedia.ru/program/bakispec/13196
28,Администрирование информационно-коммуникационных систем и сервисов,09.03.02,Информационные системы и технологии,"Программист, Системный администратори остальные",100000.0,,,121.0,360.0,https://vuzopedia.ru/program/bakispec/13192
29,Прикладная математика и физика в биомедицине,03.03.01,Прикладные математика и физика,"Математик, Биофизик, Физики остальные",268200.0,24.0,,190.0,5.0,https://vuzopedia.ru/program/bakispec/13190
30,Моделирование здоровья,31.05.01,Лечебное дело,Врачи остальные,,,,165.0,10.0,https://vuzopedia.ru/program/bakispec/13186
31,Управление коммуникациями,42.03.05,Медиакоммуникации,Специалист по медиакоммуникациями остальные,,,,112.0,10.0,https://vuzopedia.ru/program/bakispec/13185
32,Малоэтажное строительство и ландшафтный дизайн,35.03.10,Ландшафтная архитектура,"Архитектор ландшафтов, Ландшафтный дизайнери остальные",78430.0,,,120.0,10.0,https://vuzopedia.ru/program/bakispec/13182
33,Художественный дизайн в культуре массовых коммуникаций,51.03.01,Культурология,Культурологи остальные,52600.0,,,125.0,10.0,https://vuzopedia.ru/program/bakispec/13181
34,Физическая культура. Безопасность жизнедеятельности и основы применения БПЛА,44.03.05,Педагогическое образование (с двумя профилями подготовки),"Педагог, Учитель, Преподаватель технических дисциплини остальные",,18.0,,125.0,20.0,https://vuzopedia.ru/program/bakispec/13178
35,Технология. Дополнительное образование в сфере креативных индустрий,44.03.05,Педагогическое образование (с двумя профилями подготовки),"Педагог, Преподаватель программ дополнительного образования, Преподавательи остальные",,14.0,,125.0,20.0,https://vuzopedia.ru/program/bakispec/13174
36,Экономическое образование и предпринимательство,44.03.01,Педагогическое образование,"Педагог, Учитель, Преподаватель экономикии остальные",,28.0,,120.0,70.0,https://vuzopedia.ru/program/bakispec/13170
37,Изобразительное искусство и медиадизайн,44.03.01,Педагогическое образование,"Учитель ИЗО, Преподаватель, Медиадизайнери остальные",,12.0,,125.0,10.0,https://vuzopedia.ru/program/bakispec/13166
38,Нейроанимация и цифровое кино,54.03.01,Дизайн,"Графический дизайнер, Дизайнери остальные",420000.0,300.0,,100.0,140.0,https://vuzopedia.ru/program/bakispec/13148
39,"Инклюзия в образовательной, социальной и профессиональной деятельности",44.03.02,Психолого-педагогическое образование,"Педагог-психолог, Педагог инклюзивного образованияи остальные",330000.0,,,120.0,30.0,https://vuzopedia.ru/program/bakispec/13144
40,Теория и практика перевода,44.03.01,Педагогическое образование,"Преподаватель, Переводчики остальные",300000.0,,,120.0,60.0,https://vuzopedia.ru/program/bakispec/13140
41,Педагогический дизайн и управление образовательными проектами,44.03.01,Педагогическое образование,Педагоги остальные,300000.0,,,120.0,30.0,https://vuzopedia.ru/program/bakispec/13136
42,Менеджмент в девелопменте,38.03.02,Менеджмент,Менеджер проектаи остальные,330000.0,,,120.0,30.0,https://vuzopedia.ru/program/bakispec/13132
43,Бизнес-аналитика и прикладной анализ данных,38.03.01,Экономика,"Аналитик данных, Консультант по электронному бизнесуи остальные",330000.0,,,120.0,30.0,https://vuzopedia.ru/program/bakispec/13128
44,Безопасность компьютерных систем в сфере профессиональной деятельности,10.03.01,Информационная безопасность,Инженер информационной безопасностии остальные,240000.0,150.0,,120.0,200.0,https://vuzopedia.ru/program/bakispec/13124
45,Цифровые технологии в бизнесе,38.03.02,Менеджмент,Менеджер непрерывности бизнесаи остальные,,,,120.0,30.0,https://vuzopedia.ru/program/bakispec/13120
46,Автономные источники энергии,13.03.02,Электроэнергетика и электротехника,Инженер-энергетики остальные,,10.0,,121.0,2.0,https://vuzopedia.ru/program/bakispec/13116
47,Инновационные материалы и наноматериалы,04.03.02,"Химия, физика и механика материалов","Проектировщик нанотехнологических материалов (наноматериалов), Материаловеди остальные",,7.0,,120.0,8.0,https://vuzopedia.ru/program/bakispec/13112
48,Геоаналитика,09.03.02,Информационные системы и технологии,Аналитик данныхи остальные,,10.0,,121.0,8.0,https://vuzopedia.ru/program/bakispec/13108
49,Системы обработки данных и машинное обучение,09.03.04,Программная инженерия,"Специалист по машинному обучению, Разработчик баз данныхи остальные",,20.0,,121.0,28.0,https://vuzopedia.ru/program/bakispec/13104
50,Продюсирование мероприятий и маркетинг в туризме,43.03.02,Туризм,Менеджер по организации мероприятийи остальные,,,,100.0,10.0,https://vuzopedia.ru/program/bakispec/13102
51,Управление в международном гостиничном бизнесе,43.03.03,Гостиничное дело,Менеджер гостиничного сервисаи остальные,,,,100.0,10.0,https://vuzopedia.ru/program/bakispec/13098
52,Дизайн одежды и управление модным брендом,54.03.01,Дизайн,Дизайнер одеждыи остальные,,,,138.0,10.0,https://vuzopedia.ru/program/bakispec/13094
53,Веб-дизайн и проектирование цифровых продуктов,54.03.01,Дизайн,Дизайнери остальные,,,,103.0,10.0,https://vuzopedia.ru/program/bakispec/13086
54,Прикладная информатика и системы искусственного интеллекта,44.03.04,Профессиональное обучение (по отраслям),"Учитель информатики и вычислительной техники, Информатик (специалист по информационным технологиям), Преподаватель информационных технологийи остальные",,20.0,,125.0,20.0,https://vuzopedia.ru/program/bakispec/13083
55,Тюркология и балканистика,58.03.01,Востоковедение и африканистика,Востоковеди остальные,314100.0,5.0,,150.0,20.0,https://vuzopedia.ru/program/bakispec/13082
56,Юго-восточная Азия в новом технологическом укладе,58.03.01,Востоковедение и африканистика,Востоковеди остальные,314100.0,5.0,,150.0,20.0,https://vuzopedia.ru/program/bakispec/13078
57,"Политика, бизнес и корпоративные коммуникации в Восточной Азии (корейский и японский языки)",58.03.01,Востоковедение и африканистика,Востоковеди остальные,314100.0,,,150.0,60.0,https://vuzopedia.ru/program/bakispec/13074
58,История и Дополнительное образование (туристско-краеведческая направленность),44.03.05,Педагогическое образование (с двумя профилями подготовки),"Историк, Учитель, Преподавательи остальные",,20.0,,107.0,10.0,https://vuzopedia.ru/program/bakispec/13071
59,"Отечественная филология (компаративистика: языки, литература, культура России и страны спе..",45.03.01,Филология,"Филолог-русист (русист), Филолог (филолог-исследователь), Преподаватель филологии (филологических дисциплин)и остальные",120000.0,32.0,,150.0,30.0,https://vuzopedia.ru/program/bakispec/13070
60,Зарубежная филология (славистика и центральноевропеистика: Сербия и Германия),45.03.01,Филология,"Филолог-славист (славист), Преподаватель немецкого языка, Филолог (филолог-исследователь)и остальные",320000.0,9.0,,150.0,10.0,https://vuzopedia.ru/program/bakispec/13066
61,Цифровые и креативные технологии в гостиничном и ресторанном бизнесе,43.03.03,Гостиничное дело,"Менеджер ресторана, Ресторатор, Администратор гостиницыи остальные",327000.0,,,150.0,40.0,https://vuzopedia.ru/program/bakispec/13062
62,Медиатуризм и цифровые технологии,43.03.02,Туризм,"Менеджер по туризму, Специалист по туризмуи остальные",160000.0,6.0,,150.0,70.0,https://vuzopedia.ru/program/bakispec/13058
63,Культурная дипломатия в международном туризме,43.03.02,Туризм,"Менеджер по туризму, Специалист по туризмуи остальные",327000.0,,,150.0,40.0,https://vuzopedia.ru/program/bakispec/13054
64,Стратегические маркетинговые коммуникации,42.03.01,Реклама и связи с общественностью,"Специалист по рекламе, Специалист по стратегическому планированию рекламы, Маркетолог-аналитики остальные",390000.0,2.0,,150.0,22.0,https://vuzopedia.ru/program/bakispec/13050
65,Переводчик в сфере международных проектов,45.03.02,Лингвистика,"Письменный переводчик, Переводчики остальные",,,,107.0,12.0,https://vuzopedia.ru/program/bakispec/13047
66,Визуальные коммуникации в креативных индустриях,42.03.01,Реклама и связи с общественностью,"Менеджер по рекламе, Специалист по рекламеи остальные",130000.0,17.0,,150.0,42.0,https://vuzopedia.ru/program/bakispec/13046
67,Социально-экономическая статистика и демография,01.03.05,Статистика,"Демограф, Статистик, Экономисти остальные",373000.0,,,145.0,20.0,https://vuzopedia.ru/program/bakispec/13042
68,Языки международной коммуникации: английский и китайский языки,45.03.02,Лингвистика,Лингвисти остальные,,4.0,,120.0,13.0,https://vuzopedia.ru/program/bakispec/13039
69,Социальная педагогика. Организация проектной деятельности в образовании,44.03.05,Педагогическое образование (с двумя профилями подготовки),"Педагог, Учительи остальные",,25.0,,80.0,9.0,https://vuzopedia.ru/program/bakispec/13035
70,Цифровые технологии в социальной сфере,39.03.02,Социальная работа,"Социолог, Социальный работники остальные",,18.0,,125.0,6.0,https://vuzopedia.ru/program/bakispec/13031
71,Биоразнообразие и управление биотическими сообществами,06.03.01,Биология,Биологи остальные,,50.0,,120.0,10.0,https://vuzopedia.ru/program/bakispec/13027
72,Экономический инжиринг и анализ данных,38.03.01,Экономика,"Аналитик данных, Инженер-экономист, Экономисти остальные",,15.0,,120.0,2.0,https://vuzopedia.ru/program/bakispec/13023
73,Экономический инжиринг и анализ данных,01.03.05,Статистика,"Аналитик данных, Инженер-экономист, Экономисти остальные",,30.0,,126.0,4.0,https://vuzopedia.ru/program/bakispec/13019
74,Биоэкономика мясных и молочных продуктов,19.03.03,Продукты питания животного происхождения,"Инженер-технолог молока и молочных продуктов, Технолог пищевого производстваи остальные",50000.0,141.0,28.0,120.0,33.0,https://vuzopedia.ru/program/bakispec/13016
75,Разработка и эксплуатация цифровых приборов промышленных систем,12.03.01,Приборостроение,Инженер приборостроенияи остальные,50000.0,10.0,,121.0,45.0,https://vuzopedia.ru/program/bakispec/13014
76,Русский язык и Испанский язык,44.03.05,Педагогическое образование (с двумя профилями подготовки),"Учитель, Преподаватель испанского языкаи остальные",,,,,,https://vuzopedia.ru/program/bakispec/13010
77,Гастротехнологии и менеджмент продукции общественного питания,19.03.04,Технология продукции и организация общественного питания,Инженер-технолог пищевого производстваи остальные,,25.0,,120.0,10.0,https://vuzopedia.ru/program/bakispec/13007
78,Технология и менеджмент в хлебопекарной и кондитерской индустрии,19.03.02,Продукты питания из растительного сырья,"Кондитер, Инженер-технолог хлебопекарного производстваи остальные",,50.0,,120.0,25.0,https://vuzopedia.ru/program/bakispec/13003
79,Биоинжиниринг и менеджмент качества в пищевой индустрии,19.03.01,Биотехнология,"Биоинженер, Инженер пищевой промышленностии остальные",,28.0,,120.0,8.0,https://vuzopedia.ru/program/bakispec/12999
80,Информационные системы в биотехнологии,09.03.03,Прикладная информатика,Биотехнологи остальные,,25.0,,121.0,15.0,https://vuzopedia.ru/program/bakispec/12995
81,Интеллектуальные электротехнические системы,13.03.02,Электроэнергетика и электротехника,Инженер-электротехники остальные,,25.0,,121.0,3.0,https://vuzopedia.ru/program/bakispec/12991
82,Программная инженерия интеллектуальных робототехнических систем,09.03.02,Информационные системы и технологии,"Программист, Информатик (специалист по информационным технологиям), Робототехники остальные",,29.0,,121.0,11.0,https://vuzopedia.ru/program/bakispec/12987
83,Корпоративные информационные системы и управление бизнес-процессами,09.03.01,Информатика и вычислительная техника,"Информатик (специалист по информационным технологиям), Менеджер непрерывности бизнесаи остальные",,29.0,,121.0,11.0,https://vuzopedia.ru/program/bakispec/12983
84,Промышленный IT и автоматизированные системы,09.03.01,Информатика и вычислительная техника,"Программист, Оператор автоматизированной сельхозтехникии остальные",,29.0,,121.0,11.0,https://vuzopedia.ru/program/bakispec/12979
85,Инновационные технологии текстильных материалов,29.03.02,Технология и проектирование текстильных изделий,"Технолог текстильного производства, Материаловеди остальные",,25.0,,120.0,10.0,https://vuzopedia.ru/program/bakispec/12975
86,Цифровые технологии переработки и рециклинг эластомеров и композиционных материалов,18.03.01,Химическая технология,Материаловеди остальные,,27.0,,120.0,5.0,https://vuzopedia.ru/program/bakispec/12971
87,Химическая технология высокофункциональных эластомеров,18.03.01,Химическая технология,Химик-технологи остальные,,22.0,,120.0,2.0,https://vuzopedia.ru/program/bakispec/12967
88,Технологии химической переработки возобновляемых и вторичных ресурсов в экономике замкнуто..,18.03.01,Химическая технология,Химик-технологи остальные,,22.0,,120.0,2.0,https://vuzopedia.ru/program/bakispec/12963
89,Цифровая лингвистика,45.03.04,Интеллектуальные системы в гуманитарной сфере,"Специалист по документационному обеспечению управления, архивист, Цифровой лингвисти остальные",73160.0,,,120.0,15.0,https://vuzopedia.ru/program/bakispec/12960
90,Инженения лакокрасочных производств,18.03.01,Химическая технология,"Химик-технолог, Химик-технолог ЛКМ (лакокрасочных материалов)и остальные",,39.0,,120.0,4.0,https://vuzopedia.ru/program/bakispec/12959
91,Управление конфликтами и кадровая политика предприятий,38.03.03,Управление персоналом,"Специалист по кадрам, Конфликтологи остальные",,,,120.0,20.0,https://vuzopedia.ru/program/bakispec/12955
92,Цифровой дизайн и передовые технологии обработки материалов,29.03.04,Технология художественной обработки материалов,"Дизайнер, Материаловеди остальные",,25.0,,120.0,8.0,https://vuzopedia.ru/program/bakispec/12951
93,Эксплуатация роботизированных систем на морском транспорте,15.03.06,Мехатроника и робототехника,Робототехники остальные,205000.0,164.0,10.0,99.0,15.0,https://vuzopedia.ru/program/bakispec/12949
94,Применение подразделений артиллерийской разведки БПлА,11.05.02,Специальные радиотехнические системы,"Военный, Военный инженер, Оператор беспилотных летательных аппаратов (БПЛА)и остальные",,,,,,https://vuzopedia.ru/program/bakispec/12945
95,Экологические технологии,35.03.04,Агрономия,"Геоэколог, Агроном, Агроэкологи остальные",174604.0,18.0,,120.0,13.0,https://vuzopedia.ru/program/bakispec/12943
96,Охотоведение и гидробиология,06.03.01,Биология,"Гидробиолог, Биолог, Биолог-исследовательи остальные",77102.0,20.0,,120.0,12.0,https://vuzopedia.ru/program/bakispec/12939
97,Обработка и анализ информации о космической обстановке,11.05.02,Специальные радиотехнические системы,"Инженер, Инженер-радиотехник, Аналитик данныхи остальные",,,,,,https://vuzopedia.ru/program/bakispec/12936
98,Система контроля космического пространства,11.05.02,Специальные радиотехнические системы,"Инженер, Инженер-радиотехник, Инженер-технологи остальные",,,,,,https://vuzopedia.ru/program/bakispec/12932
99,Радиоэлектронные системы и технологии космической безопасности,11.05.02,Специальные радиотехнические системы,"Инженер, Инженер-технолог, Инженер по авиационному и радиоэлектронному оборудованиюи остальные",,,,,,https://vuzopedia.ru/program/bakispec/12928
100,Информационные технологии космической безопасности,11.05.02,Специальные радиотехнические системы,"Инженер, Инженер-радиотехник, Информатик (специалист по информационным технологиям)и остальные",,,,,,https://vuzopedia.ru/program/bakispec/12924
101,Топогеодезическое и навигационное обеспечение,05.05.02,Военная картография,"Инженер, Картограф, Топографи остальные",,,,,,https://vuzopedia.ru/program/bakispec/12920
102,Специальная информационно-аналитическая работа,09.05.01,Применение и эксплуатация автоматизированных систем специального назначения,"Инженер, Аналитик данных, Системный аналитики остальные",,,,,,https://vuzopedia.ru/program/bakispec/12916
103,Комплексная интеллектуальная обработка и анализ данных в военной сфере,09.05.01,Применение и эксплуатация автоматизированных систем специального назначения,"Инженер, Аналитик данных, Системный аналитики остальные",,,,,,https://vuzopedia.ru/program/bakispec/12912
104,Управление строительством объектов военной инфраструктуры,24.05.01,"Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов","Инженер, Военный инженер, Инженер-строительи остальные",,,,,,https://vuzopedia.ru/program/bakispec/12908
105,Гастрономия и сервис,43.03.01,Сервис,Менеджер гостиничного сервисаи остальные,,23.0,,125.0,10.0,https://vuzopedia.ru/program/bakispec/12907
106,Реклама в системе маркетинговых коммуникаций,42.03.01,Реклама и связи с общественностью,"Маркетолог, Менеджер по рекламе, Специалист по рекламеи остальные",,13.0,,125.0,10.0,https://vuzopedia.ru/program/bakispec/12903
107,"Эксплуатация и обслуживание объектов транспорта, хранения и переработки нефти и газа",21.03.01,Нефтегазовое дело,Инженер по обслуживанию транспортаи остальные,,25.0,,120.0,30.0,https://vuzopedia.ru/program/bakispec/12899
108,Биоинженерия и технологии,19.03.03,Продукты питания животного происхождения,"Биоинженер, Биологи остальные",,20.0,,120.0,10.0,https://vuzopedia.ru/program/bakispec/12895
109,Цифровой инжиниринг,15.03.06,Мехатроника и робототехника,Проектировщик промышленной робототехникии остальные,181500.0,25.0,,121.0,5.0,https://vuzopedia.ru/program/bakispec/12891
110,Инновационные транспортные технологии,23.03.03,Эксплуатация транспортно-технологических машин и комплексов,"Инженер-конструктор автомобилей, Транспортный планировщики остальные",120000.0,24.0,,120.0,16.0,https://vuzopedia.ru/program/bakispec/12887
111,Прикладной анализ данных и методы искусственного интеллекта,01.03.02,Прикладная математика и информатика,"Аналитик данных, Специалист по искусственному интеллектуи остальные",151000.0,25.0,,121.0,1.0,https://vuzopedia.ru/program/bakispec/12883
112,Моделирование изделий из кожи,54.03.02,Декоративно-прикладное искусство и народные промыслы,"Модельер, Художник-модельер, Скорняк-раскройщики остальные",477190.0,277.0,1.0,162.0,1.0,https://vuzopedia.ru/program/bakispec/12882
113,Системы электроэнергетики и автоматизации судов,26.05.02,"Проектирование, изготовление и ремонт энергетических установок и систем автоматизации кораблей и судов","Электрик судовой, Электромонтажник судовой, Судовой электромеханики остальные",442000.0,17.0,,120.0,5.0,https://vuzopedia.ru/program/bakispec/12878
114,Мода и стиль,54.03.03,Искусство костюма и текстиля,"Менеджер в индустрии моды, Технолог текстильного производстваи остальные",,15.0,,245.0,5.0,https://vuzopedia.ru/program/bakispec/12877
115,Дизайн визуальных коммуникаций,54.03.01,Дизайн,"Дизайнер, Дизайнер-визуализатори остальные",,9.0,,245.0,7.0,https://vuzopedia.ru/program/bakispec/12873
116,Информационные и документные ресурсы в цифровой среде,51.03.06,Библиотечно-информационная деятельность,Специалист по информационным ресурсами остальные,,33.0,,141.0,4.0,https://vuzopedia.ru/program/bakispec/12869
117,Проектирование и реклама в музейных индустриях и культурном туризме,51.03.04,Музеология и охрана объектов культурного и природного наследия,"Культуролог, Специалист по рекламеи остальные",,30.0,,138.0,4.0,https://vuzopedia.ru/program/bakispec/12865
118,Финансовая аналитика цифровых проектов,38.03.05,Бизнес-информатика,"Консультант по электронному бизнесу, Предприниматель, Финансовый аналитик (специалист финансового анализа и моделирования)и остальные",50000.0,,,180.0,35.0,https://vuzopedia.ru/program/bakispec/12864
119,Прикладная и реабилитационная психология,37.03.01,Психология,Психологи остальные,60000.0,,,180.0,50.0,https://vuzopedia.ru/program/bakispec/12860
120,Инженерия защищённых интеллектуальных систем,09.03.03,Прикладная информатика,"Программист, Инженер по сопровождению программного обеспечения, Системный программисти остальные",50000.0,,,180.0,20.0,https://vuzopedia.ru/program/bakispec/12856
121,Физическая рекреация и водный туризм,49.03.03,Рекреация и спортивно-оздоровительный туризм,Инструктор по физической культуреи остальные,88855.0,,,113.0,40.0,https://vuzopedia.ru/program/bakispec/12853
122,Природопользование и заповедное дело,05.03.06,Экология и природопользование,"Эксперт-эколог, Экологи остальные",88855.0,8.0,,100.0,11.0,https://vuzopedia.ru/program/bakispec/12849
123,Динамика полета и системы управления,24.03.01,Ракетные комплексы и космонавтика,"Инженер-конструктор, Инженер-исследователь, Инженер-механики остальные",,,,122.0,50.0,https://vuzopedia.ru/program/bakispec/12848
124,Управление качеством и производственные технологии,27.03.02,Управление качеством,"Инженер по управлению качеством, Инженер-технолог по качеству, Менеджер по качествуи остальные",,,,122.0,50.0,https://vuzopedia.ru/program/bakispec/12844
125,Цифровая металлургия,22.03.02,Металлургия,"Инженер-технолог, Инженер-металловед, Инженер-металлурги остальные",,,,121.0,50.0,https://vuzopedia.ru/program/bakispec/12840
126,Наноматериалы в химических и технических системах,28.03.02,Наноинженерия,"Инженер-конструктор, Приборист, Специалист по нанофотонике и метаматериалами остальные",,30.0,,121.0,25.0,https://vuzopedia.ru/program/bakispec/12836
127,Управление качеством в цифровом производстве,27.03.02,Управление качеством,"Метролог, Инженер по управлению качеством, Инженер-технолог по качествуи остальные",,40.0,,122.0,15.0,https://vuzopedia.ru/program/bakispec/12832
128,Радиоэлектронное обеспечение беспилотных авиационных систем,11.05.01,Радиоэлектронные системы и комплексы,"Инженер, Инженер по авиационному и радиоэлектронному оборудованию, Инженер-разработчик аппаратного обеспеченияи остальные",,20.0,,122.0,13.0,https://vuzopedia.ru/program/bakispec/12828
129,Астронавтика и аэронавтика,01.03.03,Механика и математическое моделирование,"Инженер, Программист, IT-специалисти остальные",,20.0,,122.0,15.0,https://vuzopedia.ru/program/bakispec/12824
130,Инженерно-сметная деятельность в строительстве,08.03.01,Строительство,"Инженер-строитель, Сметчики остальные",241300.0,174.0,90.0,163.0,12.0,https://vuzopedia.ru/program/bakispec/12823
131,Биотехнология и рациональное использование биоресурсов,19.03.01,Биотехнология,"Биотехнолог, Специалист-технолог в области экологических биотехнологий, Специалист –технолог в области экологических биотехнологийи остальные",128000.0,25.0,,99.0,5.0,https://vuzopedia.ru/program/bakispec/12822
132,"Предметное обучение, Технологии обучения и воспитания (Учитель начальных классов и Методис..",44.03.05,Педагогическое образование (с двумя профилями подготовки),"Методист в сфере образования, Учитель начальных классов, Методист в образованиии остальные",,34.0,,125.0,3.0,https://vuzopedia.ru/program/bakispec/12820
133,Спортивная информатика и аналитика,09.03.03,Прикладная информатика,"Аналитик данных, Информатик (специалист по информационным технологиям), Системный аналитики остальные",246300.0,5.0,,99.0,10.0,https://vuzopedia.ru/program/bakispec/12819
