id,program_name,id_program,min_cost,min_point_for_budget,min_point_for_paid,sphere,who_will_be_in_the_future,budget_places
346,Проектирование технологических комплексов в сварочном производстве,15.05.02,439000.0,235.0,135.0,Робототехника военного и специального назначения,"Инженер-конструктор, Военный, Военный инженер и остальные",16.0
347,Проектирование технологических машин-автоматов и автоматизированных комплексов,15.05.01,439000.0,249.0,135.0,Проектирование технологических машин и комплексов,"Инженер АСУ ТП, Инженер по автоматизации и механизации, Инженер по оборудованию и остальные",18.0
348,Управление техническими системами в креативных индустриях,15.03.06,459000.0,274.0,135.0,Мехатроника и робототехника,"Инженер-мехатроник, Инженер по сопровождению программного обеспечения, IT-специалист и остальные",15.0
349,Математическое и компьютерное моделирование в механике,02.03.01,459000.0,277.0,196.0,Математика и компьютерные науки,"Математик, Аналитик данных, Разработчик математических и компьютерных моделей и остальные",14.0
350,Управление высокотехнологичными проектами,38.03.02,146280.0,233.0,110.0,Менеджмент,"Инновационный менеджер, Менеджер по развитию, Менеджер и остальные",10.0
351,Управление трансфером технологий,27.03.05,165540.0,204.0,181.0,Инноватика,"Инженер-патентовед, Инженер по рационализаторству и изобретательству, Инновационный менеджер и остальные",12.0
352,Сервис на транспорте,23.05.04,161400.0,113.0,99.0,Эксплуатация железных дорог,"Инженер по безопасности транспортной сети, Инженер по организации перевозок и управлению на транспорте, Инженер по эксплуатации железных дорог и остальные",25.0
353,Медицинская инженерия и цифровые технологии,12.03.01,173740.0,189.0,159.0,Приборостроение,"Инженер по медицинской технике, Инженер приборостроения, Инженер-электроник и остальные",25.0
354,Конференц-перевод,45.03.02,337000.0,266.0,205.0,Лингвистика,"Гид-переводчик, Лингвист-исследователь, Переводчик и остальные",5.0
355,Вагоны,23.05.03,,,,Подвижной состав железных дорог,"Инженер-конструктор, Инженер-механик, Инженер-механик подвижного состава и остальные",
356,Управление качеством в логистических системах,27.03.02,,,,Управление качеством,"Инженер по управлению качеством, Логист, Менеджер по качеству и остальные",
357,Информационные таможенные системы и технологии,09.03.02,,,,Информационные системы и технологии,"Программист, Инженер-схемотехник, Системный администратор и остальные",
358,Сети и сетевые устройства вычислительных систем,09.03.01,173800.0,239.0,161.0,Информатика и вычислительная техника,"Инженер-схемотехник, Web-программист, Системный администратор и остальные",44.0
359,Техническое обеспечение эксплуатации спортивных объектов,27.03.04,173800.0,174.0,145.0,Управление в технических системах,"Инженер, Инженер по эксплуатации объектов спортивной инфраструктуры, Техник-технолог и остальные",10.0
360,Мехатроника киберфизических систем,15.03.06,173800.0,228.0,121.0,Мехатроника и робототехника,"Инженер-мехатроник, Инженер-машиностроитель, Кибернетик и остальные",25.0
361,Цифровая энергетика,13.03.02,58000.0,145.0,119.0,Электроэнергетика и электротехника,"Инженер-энергетик, Инженер-электрик, Инженер по электротехнологическим установкам и остальные",35.0
362,Системы автоматического управления беспилотными аппаратами,27.03.04,173800.0,221.0,140.0,Управление в технических системах,"Авиаконструктор, Авиаинженер (авиационный инженер), Инженер по системам автоматического управления летательных аппаратов и остальные",20.0
363,Электропривод и средства автоматизации,13.03.02,173800.0,193.0,141.0,Электроэнергетика и электротехника,"Инженер-электрик, Энергодиспетчер (диспетчер энергостанций/энергосистем), Инженер КИПиА и остальные",17.0
364,Электрическое и электронное оборудование автомобилей и тракторов,13.03.02,173800.0,193.0,141.0,Электроэнергетика и электротехника,"Инженер, Инженер-энергетик, Автомеханик и остальные",15.0
365,Проектирование и производство судов,26.03.02,206200.0,182.0,176.0,"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры","Инженер-конструктор, Инженер-кораблестроитель, Инженер-проектировщик и остальные",15.0
366,Цифровое проектирование в самолетостроении,24.03.04,206200.0,235.0,134.0,Авиастроение,"Авиаконструктор, Инженер-конструктор, Инженер-конструктор по динамике полета и управлению летательным аппаратом и остальные",22.0
367,"Калмыцкий язык и литература, китайский язык",44.03.05,123937.0,118.0,115.0,Педагогическое образование (с двумя профилями подготовки),"Педагог, Учитель, Преподаватель лингвистики и остальные",24.0
368,Формообразующие технологии в машиностроении,15.03.05,173800.0,204.0,170.0,Конструкторско-технологическое обеспечение машиностроительных производств,"Инженер-конструктор, Инженер по металлургическим машинам и оборудованию, Инженер по эксплуатации и остальные",34.0
369,Дизайн и технология художественной обработки материалов,44.03.04,123397.0,125.0,119.0,Профессиональное обучение (по отраслям),"Педагог, Учитель, Мастер профессионального обучения (техник, технолог, конструктор-модельер, дизайнер и др.) и остальные",25.0
370,Зооинженеринг и IT-технологии в животноводстве,36.03.02,49136.0,118.0,135.0,Зоотехния,"Зоотехник, Животновод, Зооинженер и остальные",82.0
371,Государственная служба и управление городом,38.03.04,348000.0,,140.0,Государственное и муниципальное управление,"Государственный служащий, Координатор программ развития сообществ, Специалист государственного и муниципального управления и остальные",
372,Технология и Дополнительное образование (техническое творчество и дизайн),44.03.05,54000.0,158.0,123.0,Педагогическое образование (с двумя профилями подготовки),"Педагог, Учитель, Учитель ИЗО и остальные",24.0
