id,program_name,id_program,min_cost,min_point_for_budget,min_point_for_paid,sphere,who_will_be_in_the_future,budget_places
51,Информационные системы и технологии в ИТ-проектах,09.03.02,191000.0,214.0,119.0,Информационные системы и технологии,"Программист, IT-специалист, Менеджер проекта и остальные",25.0
52,Экономика данных и искусственный интеллект,38.03.01,154900.0,,138.0,Экономика,"Аналитик данных, IT-специалист, ICO аналитик и остальные",
53,Промышленный инжиниринг и автоматизация,15.03.04,75000.0,182.0,137.0,Автоматизация технологических процессов и производств,"Инженер-технолог, Инженер АСУ ТП, Инженер КИПиА и остальные",40.0
54,Системы инерциальной навигации и управления подвижных объектов,12.03.03,183000.0,183.0,119.0,Фотоника и оптоинформатика,"Инженер-конструктор, Инженер-испытатель и остальные",13.0
55,Технология и оборудование сварочного производства,15.03.05,183000.0,181.0,147.0,Конструкторско-технологическое обеспечение машиностроительных производств,"Инженер-технолог, Инженер по сварке, Инженер-механик и остальные",17.0
56,"Международно-правовой профиль (сетевая программа, реализуемая совместно с Ташкентским госу..",40.03.01,270000.0,,115.0,Юриспруденция,"Правозащитник, Юрист, Юрист-международник и остальные",
57,Стоматология (российско-египетская образовательная программа на английском языке),31.05.03,500000.0,,118.0,Стоматология,"Врач-стоматолог, Стоматолог-гигиенист, Стоматологический гигиенист и остальные",
58,Стоматология (российско-китайская совместная образовательная программа на английском языке),31.05.03,500000.0,,118.0,Стоматология,"Врач-стоматолог, Стоматолог-гигиенист, Стоматологический гигиенист и остальные",
59,Лечебное дело (российско-египетская образовательная программа на английском языке),31.05.01,500000.0,,118.0,Лечебное дело,"Физиотерапевт, Врач космической медицины, Врач персонифицированной медицины и остальные",
60,Лечебное дело (российско-китайская совместная образовательная программа на английском языке),31.05.01,500000.0,,118.0,Лечебное дело,"Физиотерапевт, Врач космической медицины, Врач персонифицированной медицины и остальные",
61,Общая биология (сетевая программа реализуемая совместно с Университетом МГУ-ППИ в Шэнчжэне..,06.03.01,370000.0,,118.0,Биология,"Лаборант, Биолог, Биолог-исследователь и остальные",
62,Химическая технология производств веществ и материалов,18.03.01,180000.0,,166.0,Химическая технология,"Лаборант, Химик-разработчик, технолог по продукту, Химик-технолог и остальные",
63,Проектирование и эксплуатация технических систем,27.03.04,35000.0,,147.0,Управление в технических системах,"Инженер-технолог, Инженер-проектировщик и остальные",
64,Информатика и Математика,44.03.01,147000.0,181.0,134.0,Педагогическое образование,"Педагог, Учитель, Учитель информатики и вычислительной техники и остальные",43.0
65,Business process Management (study in English),38.03.02,147200.0,,153.0,Менеджмент,"Менеджер непрерывности бизнеса, Менеджер, Менеджер проекта и остальные",
66,Кинопроизводство,42.03.05,690000.0,361.0,234.0,Медиакоммуникации,"Режиссёр театра и кино, Креативный директор, Драматург (сценарист) и остальные",1.0
67,Управление качеством в инновационной экономике,27.03.02,141430.0,166.0,119.0,Управление качеством,"Инженер по управлению качеством, Инновационный менеджер, Менеджер по развитию и остальные",15.0
68,Аддитивные технологии в авиастроении,24.03.04,42000.0,212.0,124.0,Авиастроение,"Авиаконструктор, Инженер-технолог, Специалист по САПР и остальные",19.0
69,"Технология, оборудование и автоматизация машиностроительных производств",15.03.01,38000.0,,125.0,Машиностроение,"Инженер, Инженер-технолог, Специалист по САПР и остальные",
70,Теплогазоснабжение населенных мест и предприятий,08.03.01,38000.0,,119.0,Строительство,"Инженер по проектно-сметной документации, Инженер по техническому надзору, Инженер теплоснабжения и вентиляции и остальные",
71,"Прикладная лингвистика, лингводидактика и цифровые коммуникации",45.03.02,124150.0,,157.0,Лингвистика,"Контент-менеджер, Гид-переводчик, Литературный переводчик и остальные",
72,Управление медиакоммуникациям,42.03.05,38000.0,,146.0,Медиакоммуникации,"Digital-стратег, GR-менеджер, PR-менеджер и остальные",
73,Управление качеством в инновационной деятельности,27.03.02,,,,Управление качеством,"Метролог, Инженер по стандартизации, метрологии и сертификации, Инженер по управлению качеством и остальные",
74,Цифровые технологии конструирования и производства электронных средств,11.03.03,38000.0,139.0,121.0,Конструирование и технология электронных средств,"Инженер-конструктор, Инженер-схемотехник, Инженер электронной техники и остальные",12.0
75,Телекоммуникации и облачные технологии,11.03.02,141430.0,138.0,119.0,Инфокоммуникационные технологии и системы связи,"Инженер по спутниковым коммуникациям, Инженер связи, Инженер-проектировщик в области связи и телекоммуникаций и остальные",24.0
76,Строительство и эксплуатация объектов нефтегазовой отрасли,08.03.01,38000.0,152.0,119.0,Строительство,"Инженер по водоснабжению и водоотведению, Инженер по проектно-сметной документации, Инженер по ремонту скважин и остальные",10.0
77,Промышленная экология,20.03.01,38000.0,130.0,128.0,Техносферная безопасность,"Инженер по охране труда, Инженер по защите в чрезвычайных ситуациях, Инженер по охране труда и технике безопасности и остальные",15.0
78,Искусственный интеллект и предиктивная аналитика,09.03.04,38000.0,183.0,121.0,Программная инженерия,"Программист, Администратор баз данных, Разработчик нейронных сетей и остальные",112.0
79,Управление проектами в IT сфере,09.03.03,38000.0,167.0,164.0,Прикладная информатика,"IT-директор (CIO), Тимлид, Информатик-технолог и остальные",22.0
80,Маркетинг и бизнес-аналитика,38.03.02,92400.0,,110.0,Менеджмент,"Маркетолог, Private equity analyst, ICO аналитик и остальные",
81,Искусственный интеллект в маркетинговых коммуникациях и PR,42.03.01,112320.0,,115.0,Реклама и связи с общественностью,"PR-менеджер, Маркетолог, Менеджер по рекламе и остальные",
82,Сервис массовых мероприятий,43.03.01,91200.0,,115.0,Сервис,"Менеджер по организации мероприятий, Специалист по клиентскому сервису и остальные",
83,Музыкальное искусство и педагогика,53.03.06,71200.0,343.0,180.0,Музыкознание и музыкально-прикладное искусство,"Педагог, Личный тьютор по эстетическому развитию, Музыкальный руководитель и остальные",6.0
84,Финансово-экономическое обеспечение экономической безопасности хозяйствующих субъектов,38.05.01,80000.0,,95.0,Экономическая безопасность,"Финансист, Налоговый инспектор, Финансовый аналитик (специалист финансового анализа и моделирования) и остальные",
85,Технологии креативных индустрий,44.03.04,43000.0,146.0,137.0,Профессиональное обучение (по отраслям),"Педагог, Учитель, Мастер профессионального обучения (техник, технолог, конструктор-модельер, дизайнер и др.) и остальные",22.0
86,"Начальное образование, русский язык и литература",44.03.01,43000.0,217.0,152.0,Педагогическое образование,"Педагог, Учитель, Преподаватель лингвистики и остальные",32.0
87,Мехатронные системы,15.03.01,43000.0,,115.0,Машиностроение,"Инженер-мехатроник, Инженер-машиностроитель, Техник-мехатроник и остальные",
88,Цифровые системы управления в бизнесе,09.03.03,100000.0,,196.0,Прикладная информатика,"Аналитик данных, IT-специалист, ERP-программист и остальные",
89,Разработка программного обеспечения информационных систем и цифровых сервисов,09.03.02,100000.0,,120.0,Информационные системы и технологии,"Программист, Администратор баз данных, IT-специалист и остальные",
90,Технические и роботизированные системы в агропромышленном комплексе,35.03.06,61000.0,160.0,102.0,Агроинженерия,"Агроинженер, Инженер-механик по сельскому хозяйству, Проектировщик-эргономист роботизированных систем и остальные",65.0
91,Экологический менеджмент и аудит агроландшафтов,35.03.03,173735.0,146.0,134.0,Агрохимия и агропочвоведение,"Агрохимик, Почвовед, Эксперт-эколог и остальные",25.0
92,Кадровый сервис и аудит,38.03.03,102300.0,,85.0,Управление персоналом,"Специалист по кадрам, HR-специалист, Инженер по организации и нормированию труда и остальные",
93,Регионы России: государственное управление,38.03.04,140000.0,,114.0,Государственное и муниципальное управление,"Государственный служащий, Преподаватель государственного и муниципального управления, Лоббист и остальные",
94,"Иностранный язык (английский – первый иностранный язык, арабский – второй иностранный язык)",44.03.05,160000.0,200.0,114.0,Педагогическое образование (с двумя профилями подготовки),"Педагог, Учитель, Преподаватель лингвистики и остальные",12.0
95,Социальные и образовательные проекты в области сценического искусства,51.03.02,160000.0,193.0,122.0,Народная художественная культура,"Педагог-организатор культурного досуга, Культорганизатор, Личный тьютор по эстетическому развитию и остальные",6.0
96,Изобразительное искусство и дополнительное образование в области художественной обработки ..,44.03.05,160000.0,,139.0,Педагогическое образование (с двумя профилями подготовки),"Педагог, Учитель, Учитель ИЗО и остальные",13.0
97,Цифровое государственное управление и экономическая политика,38.03.04,160000.0,,132.0,Государственное и муниципальное управление,"GR-менеджер, Администратор баз данных, Государственный служащий и остальные",
98,Востоковедение,46.03.01,160000.0,229.0,124.0,История,"Историк, Историограф, Египтолог и остальные",9.0
99,Аналитика и управление социально-политическими процессами,41.03.06,160000.0,192.0,174.0,Публичная политика и социальные науки,"GR-менеджер, Государственный служащий, Координатор программ развития сообществ и остальные",7.0
100,Технология и дополнительное образование в области робототехники,44.03.05,160000.0,144.0,114.0,Педагогическое образование (с двумя профилями подготовки),"Педагог, Учитель, Организатор детского технического творчества и остальные",12.0
101,Машинное обучение и искусственный интеллект,01.03.02,160000.0,128.0,120.0,Прикладная математика и информатика,"Разработчик систем компьютерного зрения, Разработчик нейронных сетей, Intelligent Systems Developer (разработчик интеллектуальных систем) и остальные",10.0
102,Театральная режиссура и актерское мастерство. Преподавание художественно-творческих дисцип..,51.03.02,149900.0,324.0,252.0,Народная художественная культура,"Актер, Актёр драматического театра, Личный тьютор по эстетическому развитию и остальные",5.0
103,"Руководство хореографическим коллективом, танцевально-спортивным клубом. Преподавание хоре..",51.03.02,54900.0,296.0,197.0,Народная художественная культура,"Личный тьютор по эстетическому развитию, Танцор, Руководитель художественной студии и остальные",11.0
104,"Руководство студией декоративно-прикладного творчества, преподавание художественно-творчес..",51.03.02,54900.0,281.0,265.0,Народная художественная культура,"Педагог-организатор культурного досуга, Личный тьютор по эстетическому развитию, Руководитель художественной студии и остальные",9.0
105,Технологии беспилотных систем и искусственного интеллекта в АПК,35.03.06,160000.0,181.0,106.0,Агроинженерия,"Агроинженер, Агроинформатик (агрокибернетик), Инженер-механик по сельскому хозяйству и остальные",15.0
106,Менеджмент технологических процессов производства молока и молочной продукции,36.03.02,160000.0,130.0,99.0,Зоотехния,"Зоотехник, Животновод, Инженер-технолог молока и молочных продуктов и остальные",16.0
107,Маркетинг и цифровые коммуникации,38.03.06,245000.0,217.0,130.0,Торговое дело,"Торговый агент, Маркетолог, Интернет-маркетолог и остальные",2.0
108,Информационные технологии (по элективным модулям),44.03.04,72000.0,179.0,143.0,Профессиональное обучение (по отраслям),"Педагог, Учитель, Учитель информатики и вычислительной техники и остальные",58.0
109,Управление документами в условиях цифровой экономики,44.03.04,72000.0,184.0,130.0,Профессиональное обучение (по отраслям),"Педагог, Учитель, Преподаватель экономики и остальные",31.0
110,Профессионально-педагогические технологии,44.03.04,167400.0,,123.0,Профессиональное обучение (по отраслям),"Педагог, Учитель, Мастер профессионального обучения (техник, технолог, конструктор-модельер, дизайнер и др.) и остальные",25.0
111,Дизайн (по элективным модулям),44.03.04,72000.0,200.0,130.0,Профессиональное обучение (по отраслям),"Учитель, Дизайнер интерьеров, Мастер профессионального обучения (техник, технолог, конструктор-модельер, дизайнер и др.) и остальные",55.0
112,Цифровизация и управление бизнесом,38.03.02,75000.0,,125.0,Менеджмент,"Инновационный менеджер, Менеджер, Предприниматель и остальные",
113,Психологическая диагностика и консультирование,37.03.01,167400.0,223.0,131.0,Психология,"Психолог, Профориентолог, Разработчик инструментов обучения состояниям сознания (психической саморегуляции) и остальные",9.0
114,Оборудование и технологии сварочного производства,15.03.01,72000.0,217.0,125.0,Машиностроение,"Инженер по сварке, Инженер-машиностроитель, Инженер-электросварщик (специалист по электросварочным установкам и системам) и остальные",5.0
115,Высокоэнергетические процессы и технологии в машиностроении и материалообработке,15.03.01,72000.0,218.0,125.0,Машиностроение,"Инженер-машиностроитель, Специалист по технологии машиностроения, Материаловед и остальные",5.0
116,"Уголовно-правовая специализация, предварительное расследование в органах внутренних дел",40.05.01,,,,Правовое обеспечение национальной безопасности,"Адвокат, Инспектор уголовного розыска, Полицейский и остальные",80.0
117,"Административная деятельность полиции, деятельность сотрудника подразделения по обеспечени..",40.03.02,,,,Обеспечение законности и правопорядка,"Инженер по безопасности дорожного движения, Инженер по безопасности транспортной сети, Полицейский и остальные",18.0
118,Информационные технологии в интеллектуальной электроэнергетике,13.03.02,39700.0,186.0,136.0,Электроэнергетика и электротехника,"Инженер-энергетик, Инженер-электрик, Энергодиспетчер (диспетчер энергостанций/энергосистем) и остальные",14.0
119,Цифровые технологии в релейной защите и автоматике электроэнергетических систем,13.03.02,39700.0,186.0,136.0,Электроэнергетика и электротехника,"Инженер-энергетик, Инженер-электрик, Инженер по релейной защите и автоматике и остальные",22.0
120,Искусственный интеллект: нейросети и нейрочипы,01.03.02,43000.0,207.0,147.0,Прикладная математика и информатика,"Педагог, Программист, Аналитик компьютерных систем и остальные",20.0
121,Электроснабжение специальных технических систем и объектов,13.05.01,,,,Тепло- и электрообеспечение специальных технических систем и объектов,"Инженер-энергетик, Инженер-электрик, Инженер-теплоэнергетик и остальные",
122,Военно-политическая пропаганда и агитация,56.05.08,,,,Военно-политическая работа,Военный и остальные,
123,Биоинформатика и компьютерное моделирование в естественных науках,03.03.01,268200.0,225.0,212.0,Прикладные математика и физика,"Математик, Биоинформатик, Информатик-технолог и остальные",31.0
124,Организация охраны и конвоирования  в уголовно исполнительной системе,40.03.01,,139.0,,Юриспруденция,"Полицейский, Охранник, Сотрудник уголовно-исполнительной системы и остальные",25.0
125,Кадровая и организационно-мобилизационная работа,56.05.04,,,,Управление персоналом,"Специалист по кадрам, Инженер по организации и нормированию труда, Инженер по организации труда и остальные",
126,Техническая эксплуатация радиоэлектронных комплексов воздушных судов,25.05.03,,,,Техническая эксплуатация транспортного радиооборудования,"Инженер, Инженер по авиационному и радиоэлектронному оборудованию, Инженер по авионике и остальные",
127,Применение и эксплуатация авиационного оборудования комплексов с беспилотными летательными..,25.05.02,,,,Техническая эксплуатация и восстановление электросистем и пилотажно-навигационных комплексов боевых летательных аппаратов,"Авиационный механик (авиамеханик), Авиаинженер (авиационный инженер), Инженер по авиационному и радиоэлектронному оборудованию и остальные",
128,Физика температурных процессов,16.03.01,387970.0,,119.0,Техническая физика,"Инженер-термофизик, Инженер-теплофизик, Инженер-физик и остальные",
129,Товарная экспертиза и категорийный менеджмент в сфере товаров зооветеринарного назначения,38.03.07,347000.0,,140.0,Товароведение,"Менеджер, Категорийный менеджер, Товаровед и остальные",
130,Биоинформатика и биоинформационный анализ в АПК,06.05.01,347000.0,,140.0,Биоинженерия и биоинформатика,"Биоинженер, Биотехнолог, Биоинформатик и остальные",
131,Производственный менеджмент в пищевых технологиях продукции животноводства,35.03.07,347000.0,162.0,108.0,Технология производства и переработки сельскохозяйственной продукции,"Инженер-технолог по качеству, Руководитель в АПК (агропромышленном комплексе) и остальные",25.0
132,Переработка продукции животноводства и управления рисками в АПК,35.03.07,347000.0,167.0,127.0,Технология производства и переработки сельскохозяйственной продукции,"Агроинженер, Руководитель в АПК (агропромышленном комплексе) и остальные",25.0
133,Биофармацевтика,19.03.01,347000.0,,126.0,Биотехнология,"Биофармаколог, Фармацевт, Биотехнолог и остальные",
134,Экология в агробиотехнологиях,06.03.01,347000.0,,151.0,Биология,"Биолог, Лаборант-эколог, Эксперт-эколог и остальные",
135,Микробиология и вирусология,06.03.01,347000.0,,133.0,Биология,"Вирусолог, Биолог, Биохимик и остальные",
136,Селекция и генетика животных,36.03.02,347000.0,205.0,137.0,Зоотехния,"Зоотехник, Животновод, Генетик и остальные",25.0
137,Нутрициология и благополучие животных,36.03.02,145000.0,156.0,135.0,Зоотехния,"Зоотехник, Животновод, Зоолог и остальные",50.0
138,Ветеринарно-санитарный контроль качества и безопасности пищевых продуктов,36.03.01,347000.0,183.0,148.0,Ветеринарно-санитарная экспертиза,"Ветеринар, Ветеринарно-санитарный врач, Ветеринарный врач (ветеринар) и остальные",25.0
139,Общеклиническая ветеринария,36.05.01,145000.0,247.0,126.0,Ветеринария,"Ветеринар, Ветеринарно-санитарный врач, Ветеринарный врач (ветеринар) и остальные",125.0
140,Ветеринарная медицина мелких домашних животных,36.05.01,347000.0,,133.0,Ветеринария,"Ветеринар, Ветеринарно-санитарный врач, Ветеринарный врач (ветеринар) и остальные",
141,Продюсер кино и телевидения,55.05.04,164000.0,,247.0,Продюсерство,"Продюсер исполнительских искусств, Креативный директор, Продюсер и остальные",1.0
142,Цифровые медиа,42.03.05,363000.0,,274.0,Медиакоммуникации,"Медиа-консультант, Медиа-менеджер, Креативный директор и остальные",
143,Разработка и эксплуатация специальной техники,10.05.07,,,,Противодействие техническим разведкам,"Инженер-технолог, Инженер-испытатель и остальные",
144,Теоретическая криптография,10.05.06,,,,Криптография,"Инженер информационной безопасности, Техник по защите информации и остальные",
145,Контроль точности работы измерительных систем,27.05.02,,,,Метрологическое обеспечение вооружения и военной техники,"Метролог, Военный, Военный инженер и остальные",
146,Программное обеспечение АСУ ракетно-космической обороны,09.05.01,,,,Применение и эксплуатация автоматизированных систем специального назначения,"Программист, Военный связист, Инженер-испытатель ракетных двигателей и остальные",
147,Вычислительные комплексы и сети ракетно-космической обороны,09.05.01,,,,Применение и эксплуатация автоматизированных систем специального назначения,"Инженер, Программист, Военный связист и остальные",
148,Системный анализ и управление космическими аппаратами,09.05.01,,,,Применение и эксплуатация автоматизированных систем специального назначения,"Военный связист, Специалист по САПР, Аналитик компьютерных систем и остальные",
149,Компьютерные технологии анализа информации ракет-носителей и космических аппаратов,09.05.01,,,,Применение и эксплуатация автоматизированных систем специального назначения,"Инженер, Инженер-конструктор, Инженер-исследователь и остальные",
150,Технологии администрирования автоматизированных систем,09.05.01,,,,Применение и эксплуатация автоматизированных систем специального назначения,"Программист, Системный администратор, Военный инженер и остальные",
151,Эксплуатация оптико-электронных и радиотехнических средств анализа космической обстановки,11.05.02,,,,Специальные радиотехнические системы,"Инженер-радиотехник, Инженер-технолог, Военный связист и остальные",
152,Эксплуатация информационных средств ракетно-космической обороны,11.05.02,,,,Специальные радиотехнические системы,"Инженер, Инженер-радиотехник, Военный связист и остальные",
153,Эксплуатация средств космического наблюдения и радиолокационного мониторинга,11.05.02,,,,Специальные радиотехнические системы,"Инженер, Инженер-радиотехник, Военный связист и остальные",
154,Радиоэлектронные системы и комплексы сбора и обработки информации,11.05.02,,,,Специальные радиотехнические системы,"Инженер-радиотехник, Военный связист, Инженер по радиоэлектронной борьбе и остальные",
155,Электроснабжение,13.05.01,,,,Тепло- и электрообеспечение специальных технических систем и объектов,"Инженер-энергетик, Инженер-электрик, Инженер-электромеханик и остальные",
156,Эксплуатация инженерно-технических систем зданий и сооружений,16.05.01,,,,Специальные системы жизнеобеспечения,"Инженер, Инженер-конструктор, Инженер по эксплуатации и остальные",
157,Строительство и эксплуатация зданий и сооружений,24.05.01,,,,"Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов","Военный инженер, Инженер по механизации и автоматизации строительства, Инженер-строитель и остальные",
158,Уголовно-правовая (Предварительное расследование в органах внутренних дел),40.05.01,,,,Правовое обеспечение национальной безопасности,"Инспектор уголовного розыска, Полицейский, Прокурор и остальные",117.0
159,Проектирование и сопровождение информационных систем,09.03.02,78000.0,237.0,187.0,Информационные системы и технологии,"Программист, Инженер по сопровождению программного обеспечения, Информатик (специалист по информационным технологиям) и остальные",38.0
160,"Тексты, языки и цифровые инструменты",45.03.01,420000.0,,224.0,Филология,"Гид-переводчик, Литературный переводчик, Компьютерный лингвист и остальные",13.0
161,Программирование и инжиниринг компьютерных игр,09.03.04,420000.0,284.0,247.0,Программная инженерия,"Архитектор виртуальности, Программист, Тестировщик, QA-инженер и остальные",12.0
162,Товароведение и экспертиза товаров в таможенной деятельности,38.03.07,49000.0,,110.0,Товароведение,"Менеджер ВЭД, Менеджер по работе с таможней, Товаровед и остальные",
163,Эксплуатация и ремонт технических средств,23.03.02,124000.0,,120.0,Наземные транспортно-технологические комплексы,"Инженер-конструктор, Инженер по эксплуатации, Инженер-механик и остальные",
164,"Инжиниринг машин, механизмов и конструкций",15.03.03,74816.0,,119.0,Прикладная механика,"Инженер-машиностроитель, Специалист по технологии машиностроения и остальные",
165,Организация и технологии защиты информации (по отраслям),10.05.05,187038.0,201.0,135.0,Безопасность информационных технологий в правоохранительной сфере,"Инженер информационной безопасности, Полицейский, Специалист по безопасности и остальные",20.0
166,Технология и организация туроператорских и турагентских услуг,43.03.02,,,,Туризм,"Менеджер по туризму, Менеджер по организации мероприятий, Специалист по туризму и остальные",
167,Управление рисками государства и бизнеса в цифровых экосистемах,38.05.01,55000.0,,125.0,Экономическая безопасность,"Налоговый инспектор, Налоговый консультант, Специалист по экономической безопасности и остальные",
168,Дизайн физической и виртуальной среды,44.03.04,60000.0,,124.0,Профессиональное обучение (по отраслям),"Web-дизайнер, Педагог, Учитель и остальные",
169,Индустриальная педагогика,44.03.04,52000.0,,120.0,Профессиональное обучение (по отраслям),"Педагог, Учитель, Преподаватель и остальные",
170,Дизайн бизнеса,38.03.02,50000.0,,127.0,Менеджмент,"Менеджер, Креативный директор, Менеджер проекта и остальные",
171,Нейромаркетинг,38.03.02,50000.0,,113.0,Менеджмент,"Маркетолог, Менеджер по маркетингу, Трейд-маркетолог и остальные",
172,Бизнес-аналитика,38.03.01,50000.0,,125.0,Экономика,"Private equity analyst, Предприниматель, ICO аналитик и остальные",
173,Экономика цифровых предприятий и сервисов,38.03.01,50000.0,,124.0,Экономика,"Инженер-экономист, ICO аналитик, Кредитный аналитик и остальные",
174,Материально-техническое обеспечение УИС,38.05.01,,,,Экономическая безопасность,"Специалист по экономической безопасности, Специалист по безопасности, Специалист комплаенс-контроля и остальные",20.0
175,Пробация,39.03.02,,,,Социальная работа,"Специалист по социальной работе, Специалист по краудсорсингу общественных проблем, Социальный работник и остальные",75.0
176,Дошкольное образование и дополнительное начальное образование,44.03.05,54000.0,,160.0,Педагогическое образование (с двумя профилями подготовки),"Воспитатель детского сада, Педагог, Учитель и остальные",
177,"Анализ, контроль и правовое обеспечение экономической безопасности хозяйствующих субъектов",38.05.01,63900.0,,116.0,Экономическая безопасность,"Бухгалтер-ревизор, Аналитик данных, Аудитор и остальные",
178,Художник виртуальных персонажей в виртуальном пространстве,54.05.03,625650.0,377.0,270.0,Графика,"Science-художник, Иллюстратор, Художник и остальные",5.0
179,Управление государственными и муниципальными закупками,38.03.01,180000.0,,95.0,Экономика,"Агент по закупкам, Менеджер по закупкам, Государственный служащий и остальные",
180,Правовое обеспечение бизнеса,40.03.01,350000.0,,133.0,Юриспруденция,"Адвокат, Виртуальный адвокат, Инспектор по труду и остальные",
181,Международное энергетическое сотрудничество,41.03.05,350000.0,,119.0,Международные отношения,"Дипломат, Маркетолог энергетических рынков, Менеджер ВЭД и остальные",
182,Образование в области физической культуры,44.03.01,40000.0,,144.0,Педагогическое образование,"Педагог, Учитель, Преподаватель и остальные",
183,Эксплуатация судовых энергетических установок судов смешанного река-море плавания,26.05.06,62200.0,155.0,106.0,Эксплуатация судовых энергетических установок,"Морской инженер, Специалист по судостроению и остальные",41.0
184,Информационно-аналитические технологии в государственном и муниципальном управлении,38.03.04,65000.0,,129.0,Государственное и муниципальное управление,"Государственный служащий, Лоббист, Специалист государственного и муниципального управления и остальные",
185,Современные кадровые технологии в управлении персоналом,38.03.03,79000.0,,152.0,Управление персоналом,"Специалист по кадрам, HR-специалист, Инспектор (менеджер) по кадрам и остальные",
186,Управление проектами в государственной и муниципальной сфере,38.03.02,70000.0,,135.0,Менеджмент,"GR-менеджер, Государственный служащий, Координатор программ развития сообществ и остальные",
187,Финансовая разведка в цифровой экономике,38.03.01,70000.0,,144.0,Экономика,"Финансист, ICO аналитик, Финансовый аналитик (специалист финансового анализа и моделирования) и остальные",
188,Сервис транспортных и технологических машин и оборудования,23.03.03,169379.0,150.0,118.0,Эксплуатация транспортно-технологических машин и комплексов,"Автомеханик, Инженер по эксплуатации, Специалист по сервису на транспорте и остальные",20.0
189,"Концертные народные инструменты (по видам инструментов: баян, аккордеон, домра, балалайка,..",53.05.01,212700.0,302.0,180.0,Искусство концертного исполнительства,"Аккомпаниатор, Музыкальный руководитель, Преподаватель детской музыкальной школы и остальные",3.0
190,"Концертные духовые и ударные инструменты (по видам инструментов: флейта, кларнет, гобой, ф..",53.05.01,212700.0,302.0,180.0,Искусство концертного исполнительства,"Аккомпаниатор, Музыкальный руководитель, Музыкант и остальные",1.0
191,"Концертные струнные инструменты (по видам инструментов: скрипка, альт, виолончель, контраб..",53.05.01,,302.0,,Искусство концертного исполнительства,"Аккомпаниатор, Музыкальный руководитель, Музыкант и остальные",1.0
192,Руководство фольклорным коллективом,51.03.02,37600.0,202.0,175.0,Народная художественная культура,"Исполнитель народных или этнических песен (народный певец), Организатор музыкально-просветительской деятельности, Педагог-организатор культурного досуга и остальные",6.0
193,Руководство хореографическим коллективом,51.03.02,37600.0,202.0,175.0,Народная художественная культура,"Балетмейстер-постановщик, Личный тьютор по эстетическому развитию, Танцор и остальные",6.0
194,Дополнительное образование (в области вокального искусства),44.03.01,42000.0,182.0,135.0,Педагогическое образование,"Педагог, Учитель, Актер музыкального театра и остальные",4.0
195,Музыкальная педагогика (в сфере основного общего и дополнительного образования),44.03.01,42000.0,182.0,135.0,Педагогическое образование,"Педагог, Учитель, Организатор музыкально-просветительской деятельности и остальные",4.0
196,Искусство иллюзиона,52.03.03,161650.0,255.0,148.0,Цирковое искусство,,4.0
197,Сервис мехатронных систем,44.03.04,199127.0,204.0,131.0,Профессиональное обучение (по отраслям),"Педагог, Учитель, Мастер профессионального обучения (техник, технолог, конструктор-модельер, дизайнер и др.) и остальные",23.0
198,Биоэкология и техносферная безопасность,06.03.01,223082.0,120.0,118.0,Биология,"Биотехнолог, Биолог, Эксперт-эколог и остальные",25.0
199,Дошкольная педагогика,44.03.01,62000.0,161.0,129.0,Педагогическое образование,"Воспитатель детского сада, Педагог, Учитель и остальные",10.0
200,Hotel business,43.03.03,175500.0,,115.0,Гостиничное дело,"Менеджер ресторана, Администратор гостиницы, Event-менеджер и остальные",
201,Экономика и управление,38.03.02,90000.0,,163.0,Менеджмент,"Менеджер, Экономист и остальные",
202,Экономика и финансы,38.03.02,90000.0,,175.0,Менеджмент,"Финансист, Менеджер, Финансовый аналитик (специалист финансового анализа и моделирования) и остальные",
203,Перевод и переводоведение (языки стран Востока),45.03.02,120000.0,,105.0,Лингвистика,"Лингвист, Переводовед, Преподаватель межкультурной коммуникации и остальные",
204,Руководство проведением спасательных операций особого риска,20.03.01,,,,Техносферная безопасность,"Спасатель, Инженер по охране труда, Инженер по защите в чрезвычайных ситуациях и остальные",50.0
205,Организация и технологии управления туристским предприятием,43.03.02,52250.0,,115.0,Туризм,"Менеджер по туризму, Менеджер по организации мероприятий, Специалист по туризму и остальные",
206,Межбанковские информационно-телекоммуникационные технологии,11.03.02,140940.0,130.0,119.0,Инфокоммуникационные технологии и системы связи,"Инженер-проектировщик в области связи и телекоммуникаций, Информатик (специалист по информационным технологиям), IT-специалист и остальные",23.0
207,Проектирование и управление в социально-образовательной сфере,44.03.01,55000.0,187.0,127.0,Педагогическое образование,"Педагог, Организатор проектного обучения, Преподаватель и остальные",20.0
208,PR и цифровые коммуникации в креативных индустриях,42.03.01,90000.0,248.0,133.0,Реклама и связи с общественностью,"PR-менеджер, Интернет-маркетолог, Контент-менеджер и остальные",5.0
209,Реклама в брендинге и интернет-маркетинге,42.03.01,90000.0,248.0,133.0,Реклама и связи с общественностью,"Digital-стратег, Маркетолог, Интернет-маркетолог и остальные",6.0
210,Логистика и управление бизнес процессами в торговле,38.03.06,75000.0,,125.0,Торговое дело,"Торговый агент, Агент по закупкам, Брокер и остальные",
211,Нейротехнологии в практической психологии,37.03.01,135000.0,226.0,129.0,Психология,"Психолог, Нейропсихолог, Практический психолог и остальные",7.0
